	AM	YM	EFM	EN	AY	RM	CDSG	VM	PTN	BN	BAPP	CMUT	PN	CN	IM	SOM	SGCode	KN	MPCMMS	TrM	AFM	CM	MN	CDHN	TM
M_code	-21.07229695125418	-28.883412883593028	35.55829355820349	35.55829355820349	34.50187214112486	-24.855806230980885	35.55829355820349	-33.17952664637947	34.50187214112486	37.57209688450956	34.50187214112486	36.58117778743858	36.58117778743858	37.57209688450956	-24.855806230980885	34.50187214112486	34.50187214112486	37.57209688450956	35.55829355820349	-28.883412883593028	36.58117778743858	35.55829355820349	36.58117778743858	35.55829355820349	33.41023667681046
M_gc	-32.33890610739646	-32.33890610739646	39.93729439037716	39.93729439037716	39.93729439037716	3.7991941414903634	39.93729439037716	-32.33890610739646	39.93729439037716	39.93729439037716	39.93729439037716	39.93729439037716	39.93729439037716	39.93729439037716	-32.33890610739646	39.93729439037716	39.93729439037716	39.93729439037716	39.93729439037716	-32.33890610739646	39.93729439037716	39.93729439037716	39.93729439037716	39.93729439037716	39.93729439037716
W_code	-181.4405979743698	-199.5980559081998	-199.5980559081998	-49.799027954099905	-52.25474972383923	-190.23561666106886	-49.799027954099905	-209.5846577718065	-52.25474972383923	-190.23561666106886	-52.25474972383923	-194.84253121124416	-47.42126560562161	-190.23561666106886	-190.23561666106886	-52.25474972383923	-52.25474972383923	-190.23561666106886	-199.5980559081998	-199.5980559081998	-194.84253121124416	-49.799027954099905	-47.42126560562161	-49.799027954099905	-54.7923288859028
W_gc	-177.49250086669542	-177.49250086669542	-177.49250086669542	-37.87275127578177	-37.87275127578177	-177.49250086669542	-37.87275127578177	-177.49250086669542	-37.87275127578177	-177.49250086669542	-37.87275127578177	-177.49250086669542	-37.87275127578177	-107.68262607123856	-177.49250086669542	-37.87275127578177	-37.87275127578177	-107.68262607123856	-177.49250086669542	-177.49250086669542	-177.49250086669542	-37.87275127578177	-37.87275127578177	-37.87275127578177	-37.87275127578177
C_code	-121.27590415473941	-135.55176893891587	-135.55176893891587	-253.32765340837383	-139.41327334775053	-128.19077615957502	-135.55176893891587	-143.4034945702131	-139.41327334775053	-128.19077615957502	-139.41327334775053	-131.81285197163143	-131.81285197163143	-128.19077615957502	-128.19077615957502	-139.41327334775053	-139.41327334775053	-128.19077615957502	-135.55176893891587	-135.55176893891587	-131.81285197163143	-135.55176893891587	-131.81285197163143	-135.55176893891587	-143.4034945702131
C_gc	-118.17180771847855	-118.17180771847855	-118.17180771847855	-227.94447929090472	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855	-118.17180771847855
D_code	46.978028569412835	43.557256219052434	43.557256219052434	43.557256219052434	42.63196533739756	45.321091962206985	43.557256219052434	41.67583142635418	42.63196533739756	45.321091962206985	42.63196533739756	44.453172787004	44.453172787004	45.321091962206985	45.321091962206985	42.63196533739756	42.63196533739756	45.321091962206985	43.557256219052434	43.557256219052434	44.453172787004	43.557256219052434	44.453172787004	43.557256219052434	41.67583142635418
D_gc	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018	47.72182990282018
E_code	64.14222577636089	61.82882098773905	61.82882098773905	61.82882098773905	61.20306395475117	63.02167033187217	61.82882098773905	60.55644835399702	61.20306395475117	26.043340663744335	61.20306395475117	62.43471271809241	24.869425436184823	63.02167033187217	63.02167033187217	61.20306395475117	61.20306395475117	63.02167033187217	61.82882098773905	61.82882098773905	62.43471271809241	61.82882098773905	62.43471271809241	61.82882098773905	60.55644835399702
E_gc	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	45.04795154717715	64.64524479962522	64.64524479962522	25.450658294729088	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522	64.64524479962522
F_code	11.924743245999318	6.242468616709047	6.242468616709047	6.242468616709047	4.705459905507568	9.17239147243679	6.242468616709047	3.1172175705993443	4.705459905507568	9.17239147243679	4.705459905507568	7.7306834005708325	7.7306834005708325	9.17239147243679	9.17239147243679	4.705459905507568	4.705459905507568	9.17239147243679	6.242468616709047	6.242468616709047	7.7306834005708325	6.242468616709047	7.7306834005708325	6.242468616709047	3.1172175705993443
F_gc	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853	3.7287354129792853
H_code	-63.44610380289632	-73.99101372566363	-73.99101372566363	-73.99101372566363	-76.84332542608433	-68.55379454673684	-73.99101372566363	-79.79071418318577	-76.84332542608433	-68.55379454673684	-76.84332542608433	-71.22925160303402	-71.22925160303402	-68.55379454673684	-68.55379454673684	-76.84332542608433	-76.84332542608433	-68.55379454673684	-73.99101372566363	-73.99101372566363	-71.22925160303402	-73.99101372566363	-71.22925160303402	-73.99101372566363	-79.79071418318577
H_gc	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166	-61.15325375095166
K_code	58.07348516105859	55.36854871983661	77.6842743599183	55.36854871983661	54.63688558409623	35.1449223585125	55.36854871983661	53.880833677164496	54.63688558409623	56.763281572341675	54.63688558409623	34.11547668166352	56.07698445444239	56.763281572341675	35.1449223585125	54.63688558409623	54.63688558409623	56.763281572341675	55.36854871983661	77.6842743599183	78.03849222722127	55.36854871983661	56.07698445444239	55.36854871983661	53.880833677164496
K_gc	54.17193486537256	54.17193486537256	79.20069263224848	54.17193486537256	54.17193486537256	43.90240730990564	54.17193486537256	54.17193486537256	54.17193486537256	54.17193486537256	54.17193486537256	33.63287975443869	54.17193486537256	54.17193486537256	47.32558316172796	54.17193486537256	54.17193486537256	54.17193486537256	54.17193486537256	79.20069263224848	79.20069263224848	54.17193486537256	54.17193486537256	54.17193486537256	54.17193486537256
N_code	13.386827958412573	7.798881375084445	-38.30167793737334	7.798881375084445	6.28738762713502	10.680166332112957	7.798881375084445	4.725510754253922	6.28738762713502	10.680166332112957	6.28738762713502	9.262391194527572	9.262391194527572	10.680166332112957	10.680166332112957	6.28738762713502	6.28738762713502	10.680166332112957	7.798881375084445	-38.30167793737334	-36.106413208208785	7.798881375084445	9.262391194527572	7.798881375084445	4.725510754253922
