	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
EN	0.6302106601478266	0.03211154529307283	0.5023386042395562	0.03266686554152679	0.6276324775971791	0.023843161634103018	0.48122213231521727	0.023050263429541428
PTN	0.6901062872308193	0.020685968028419183	0.5577300712921225	0.021439323096377975	0.6849775210311947	0.012618650088809948	0.5326728071467881	0.012555315076398892
MN	0.6176427997070845	0.029179396092362347	0.4992490295155425	0.029627887743654092	0.6251048645829483	0.02091278863232682	0.4771205907058947	0.020804008502575626
EFM	0.6158073960610179	0.03709769094138543	0.49139352009078957	0.03524033670561491	0.6023357137289863	0.036797335701598585	0.46403762356766615	0.03265129372694474
AM	0.6232835724746121	0.04332930728241562	0.49768901043410513	0.04285768685721986	0.6050661753002852	0.0291841918294849	0.4613516186433071	0.03098260911364712
IM	0.6574954805698605	0.02607353463587922	0.5219094421048297	0.027331331696109348	0.6315065536590702	0.023232859680284188	0.4789460775786908	0.02400481158023718
YM	0.44368650659049763	0.13300301953818827	0.34285801435530355	0.13639211837154017	0.42165499278037977	0.12076092362344583	0.30873612088671754	0.13575301579540133
AY	0.6853542118914796	0.019624156305506218	0.5519744114458522	0.020309891436099667	0.6773147565338907	0.013814031971580818	0.5252423085455106	0.013981409008603679
SGCode	0.6903701996762791	0.018641563055062167	0.5640407653100175	0.01911016505699156	0.6809661048308538	0.013202131438721136	0.5314236850762389	0.013123706766606855
BN	0.6939290040610802	0.023616163410301955	0.5585081389158078	0.024251436486976773	0.6772428785729446	0.016844582593250442	0.5148888347110884	0.017647869270278903
CDHN	0.6696158873691609	0.02471563055062167	0.5420293797814268	0.024737503984194067	0.6605774533997347	0.01707513321492007	0.5080661362102366	0.016715828148094754
AFM	0.5952492111663835	0.0423538188277087	0.470685997580953	0.03924449894655817	0.5763676420391471	0.04588259325044405	0.4413905701466356	0.042304863487618714
SOM	0.6927775275746891	0.01796607460035524	0.563442741440445	0.018329353555718693	0.6829376540322957	0.013401953818827708	0.5363975284349787	0.013036170617289481
KN	0.6037604532243265	0.045190408525754885	0.48255967891876256	0.046826026384570806	0.6298288217423812	0.02546998223801066	0.47728945427259456	0.02595288717396186
CMUT	0.6786180749609627	0.017488454706927177	0.5418628362281638	0.018731968818108506	0.6661068714888837	0.014695204262877444	0.5120762027367657	0.015358489184335567
CN	0.6037604532243265	0.04524476021314387	0.48255967891876256	0.046826026384570806	0.6520361959507243	0.019532682060390764	0.4966895412028438	0.020050224391149778
RM	0.6836795929596302	0.01812682060390764	0.543903446004075	0.019903493136107522	0.6782245947093479	0.014458259325044402	0.5192391230848429	0.014841548462937556
VM	0.6501137734190329	0.03425044404973357	0.539172744557394	0.032159092669909656	0.6114110220407221	0.028809591474245114	0.47367479889866176	0.030345619276645277
CM	0.6981174648017652	0.016920781527531084	0.5709273727448355	0.01733567591044464	0.6864952574371299	0.012873001776198933	0.5392606113347385	0.01257317577255084
BAPP	0.6903701996762791	0.018649023090586143	0.5640407653100175	0.01911016505699156	0.6809661048308538	0.013284191829484902	0.5314236850762389	0.013123706766606855
CDSG	0.6917694770152084	0.018661811722912963	0.5612340923388266	0.018938528833706624	0.6855000539820393	0.012657904085257549	0.5322101782589863	0.012489135288947422
TrM	0.569542042814985	0.058625044404973355	0.4559885909296945	0.05304672118456205	0.5479717909553132	0.0649538188277087	0.4131743528065618	0.05957050014823106
PN	0.7241709590819339	0.017399822380106574	0.5926126779543649	0.017386945840696368	0.7132806787382707	0.012877975133214918	0.5545443284849036	0.012302021095468957
MPCMMS	0.6528598262640195	0.028287566607460037	0.5253194177079087	0.029556513147333135	0.636533432524406	0.02103090586145648	0.4876825562930279	0.021899994974535035
TM	0.6806778773887376	0.020746891651865013	0.5486919412461474	0.021353364714977282	0.6744064394479607	0.014474067495559502	0.5222473432221341	0.014585267151596628
