Archaea	Bacteria	Eukaryotes	Viruses
16.0	112.0	1.0	8.0
181.0	4.0	20.0	11.0
393.0	213.0	53.0	3.0
2.0	153.0	1.0	2.0
169.0	2.0	2.0	3.0
366.0	244.0	134.0	6.0
436.0	744.0	59.0	63.0
315.0	239.0	2.0	69.0
213.0	360.0	14.0	2.0
1.0	241.0	36.0	5.0
266.0	191.0	1.0	1.0
121.0	229.0	106.0	11.0
341.0	1.0	3.0	4.0
126.0	10.0	81.0	133.0
346.0	20.0	20.0	3.0
138.0	386.0	12.0	12.0
120.0	7.0	28.0	56.0
491.0	207.0	14.0	13.0
2.0	1.0	1.0	1.0
3.0	128.0	2.0	4.0
195.0	1.0	286.0	126.0
4.0	39.0	2215.0	37.0
6.0	449.0	5.0	3.0
171.0	128.0	104.0	76.0
10.0	1.0	8.0	52.0
105.0	417.0	85.0	8.0
4.0	9.0	1.0	215.0
93.0	257.0	92.0	3.0
3.0	274.0	131.0	7.0
4.0	1.0	154.0	3.0
11.0	285.0	807.0	11.0
4.0	262.0	13.0	7.0
2.0	339.0	19.0	11.0
6.0	273.0	579.0	9.0
1033.0	233.0	3.0	3.0
1.0	171.0	289.0	5.0
369.0	231.0	469.0	4.0
222.0	622.0	34.0	11.0
1.0	326.0	53.0	2.0
622.0	2.0	10.0	12.0
181.0	5.0	2.0	9.0
517.0	230.0	213.0	3.0
1.0	213.0	21.0	7.0
1769.0	1.0	9.0	4.0
118.0	3.0	61.0	4.0
18.0	209.0	103.0	5.0
94.0	286.0	13.0	5.0
107.0	176.0	14.0	4.0
7.0	214.0	106.0	6.0
77.0	322.0	11.0	12.0
376.0	6.0	40.0	3.0
2.0	267.0	8.0	4.0
2.0	244.0	16.0	7.0
221.0	340.0	67.0	3.0
1.0	303.0	3.0	4.0
127.0	142.0	17.0	7.0
182.0	252.0	30.0	7.0
506.0	3.0	5.0	4.0
4.0	266.0	213.0	4.0
9.0	9.0	2.0	4.0
1.0	3.0	29.0	207.0
175.0	9.0	3276.0	9.0
488.0	8.0	1.0	9.0
1.0	403.0	62.0	5.0
1.0	10.0	4.0	11.0
381.0	218.0	6.0	9.0
1.0	198.0	27.0	11.0
	1.0	5.0	2.0
	4.0	43.0	9.0
	1.0	140.0	73.0
	259.0	2.0	1.0
	2.0	9.0	2.0
	4.0	2.0	7.0
	2.0	28.0	88.0
	2.0	90.0	2.0
	1.0	15.0	6.0
	385.0	7.0	9.0
	10.0	1.0	8.0
	1.0	17.0	8.0
	1475.0	2222.0	1.0
	409.0	1.0	15.0
	1.0	161.0	9.0
	2.0	17.0	6.0
	332.0	18.0	1.0
	361.0	55.0	9.0
	1695.0	968.0	9.0
	143.0	21.0	1.0
	234.0	1137.0	4.0
	584.0	157.0	7.0
	332.0	62.0	4.0
	14.0	1014.0	19.0
	301.0	5.0	8.0
	386.0	2.0	8.0
	2.0	4.0	8.0
	3.0	392.0	3.0
	1.0	857.0	9.0
	472.0	2.0	1.0
	440.0	45.0	14.0
	263.0	26.0	1.0
	1.0	315.0	1.0
	668.0	7.0	6.0
	132.0	759.0	5.0
	708.0	279.0	16.0
	190.0	21.0	6.0
	279.0	93.0	1.0
	804.0	174.0	6.0
	2.0	25.0	9.0
	1139.0	6.0	2.0
	400.0	49.0	8.0
	2.0	12.0	7.0
	415.0	17019.0	2.0
	12.0	3.0	6.0
	320.0	426.0	4.0
	519.0	97.0	6.0
	4.0	51.0	8.0
	7.0	102.0	38.0
	453.0	928.0	1.0
	1102.0	15.0	6.0
	5.0	894.0	8.0
	6.0	350.0	1.0
	19.0	221.0	5.0
	304.0	4467.0	1.0
	1.0	5.0	4.0
	749.0	1.0	2.0
	426.0	2.0	6.0
	280.0	1.0	4.0
	1.0	33.0	30.0
	604.0	32.0	3.0
	373.0	208.0	1.0
	54.0	244.0	2.0
	683.0	1.0	26.0
	351.0	2.0	5.0
	1.0	651.0	4.0
	679.0	27.0	6.0
	1.0	5.0	2.0
	268.0	33.0	5.0
	515.0	66.0	3.0
	2.0	6.0	5.0
	7.0	114.0	4.0
	9.0	29.0	1.0
	559.0	55.0	7.0
	586.0	129.0	3.0
	1.0	1.0	3.0
	358.0	69.0	1.0
	354.0	23.0	7.0
	127.0	1.0	1.0
	2.0	3.0	6.0
	663.0	8.0	4.0
	193.0	54.0	4.0
	1.0	10.0	4.0
	117.0	68.0	2.0
	3.0	10.0	4.0
	521.0	2.0	4.0
	4.0	362.0	4.0
	1.0	23.0	3.0
	2.0	1.0	2.0
	511.0	56.0	4.0
	261.0	28.0	2.0
	610.0	92.0	2.0
	779.0	1.0	4.0
	11.0	39.0	12.0
	2.0	53.0	2.0
	413.0	95.0	28.0
	1.0	5.0	13.0
	1.0	69.0	3.0
	667.0	268.0	9.0
	1.0	50.0	12.0
