	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
PTN	0.6897573513007917	5e-324	0.5505119285633024	5e-324	0.7189216445381191	5e-324	0.5652836143244209	5e-324
EN	0.6396441337777711	5e-324	0.507893467511448	5e-324	0.6583374655695403	5e-324	0.5068711260563961	5e-324
MN	0.6331909351962566	5e-324	0.5103614260441595	5e-324	0.6560215883222335	5e-324	0.5072695006384443	5e-324
EFM	0.6206644152968661	5e-324	0.4907100045389123	5e-324	0.6151494144631448	5e-324	0.47461264141613896	5e-324
AM	0.610129456677426	5e-324	0.4820679385845159	5e-324	0.6316752592163625	5e-324	0.4919595517215831	5e-324
YM	0.4508515933987538	5e-324	0.354789000019294	1.47211965616876e-310	0.5004119113393167	5e-324	0.3797252579421851	5e-324
IM	0.6457738587749636	5e-324	0.511921541433172	5e-324	0.6449509209601288	5e-324	0.4988983350540691	5e-324
AY	0.6931658460347391	5e-324	0.5554417932848688	5e-324	0.7126731124829274	5e-324	0.5593705680200365	5e-324
SGCode	0.6983244719845868	5e-324	0.5676714020590761	5e-324	0.7171633706811982	5e-324	0.5664680683379801	5e-324
BN	0.6919973061812298	5e-324	0.5562843675947087	5e-324	0.7297277863098441	5e-324	0.5676313814177468	5e-324
AFM	0.6032458831307572	5e-324	0.4736524518015409	5e-324	0.583820018427316	5e-324	0.44533850311222395	5e-324
CDHN	0.679897150505022	5e-324	0.5474035818558386	5e-324	0.701634864982383	5e-324	0.5475917715020617	5e-324
KN	0.6181284780812202	5e-324	0.49322963536096026	5e-324	0.6597228142546343	5e-324	0.5060447111093634	5e-324
SOM	0.700725006870985	5e-324	0.5669117522198576	5e-324	0.7161787321657954	5e-324	0.5660383990260943	5e-324
CMUT	0.673666907453295	5e-324	0.535788782555428	5e-324	0.6722409013094117	5e-324	0.5193364735792209	5e-324
CN	0.6181284780812202	5e-324	0.49322963536096026	5e-324	0.691439323962603	5e-324	0.5342422379919245	5e-324
RM	0.6759878973913955	5e-324	0.5360034506401792	5e-324	0.7004178587367916	5e-324	0.5460291719790146	5e-324
VM	0.6324545930606325	5e-324	0.5184978869059459	5e-324	0.6313292781158304	5e-324	0.4967838835002099	5e-324
CM	0.7042833828927358	5e-324	0.5726950894847016	5e-324	0.7191226793354619	5e-324	0.5693349204114756	5e-324
BAPP	0.6983244719845868	5e-324	0.5676714020590761	5e-324	0.7171633706811982	5e-324	0.5664680683379801	5e-324
CDSG	0.6954412872710195	5e-324	0.5591784424539328	5e-324	0.7193583520843334	5e-324	0.5670333590964843	5e-324
TrM	0.5641724097044697	5e-324	0.4470347042743363	5e-324	0.5472175367320924	5e-324	0.41569331385086433	5e-324
PN	0.7215070408876293	5e-324	0.588044646062209	5e-324	0.7494214673169827	5e-324	0.5911870479717954	5e-324
MPCMMS	0.6616559443210381	5e-324	0.5307346724889861	5e-324	0.68598352627557	5e-324	0.5348990916380336	5e-324
TM	0.6902959470185409	5e-324	0.5539481367667538	5e-324	0.7108200757962433	5e-324	0.5567408154816378	5e-324
