Archaea	Bacteria	Eukaryotes	Viruses
2256	1743	1022	55
1414	1252	7403	3
1673	3527	8957	1
1686	2668	10258	1
2047	2775	10470	3
3624	3063	8921	2
2221	3539	531	8
2301	3816	16696	11
2590	4108	9152	72
2493	5924	31219	65
2558	3798	13118	62
1570	6882	17972	78
3523	2630	11501	160
3732	4033	26848	1
4232	1537	23030	69
1434	2938	24427	1
1477	1332	27703	11
1478	2074	13377	9
2928	3188	3745	6
2764	2668	16307	6
1499	7632	27884	7
2421	3624	34528	61
3495	3322	5820	6
4203	2702	10676	27
2655	2716	11649	51
2998	2853	5389	78
1739	3144	3212	238
2065	589	27366	3
536	1182	10363	2
1967	2310	11426	11
4221	9368	5314	24
1822	3190	8375	7
1929	584	8711	2
2815	2824	12019	2
2152	4092	13867	1
3231	4304	21562	28
2250	5660	17613	48
2358	3997	25133	46
1795	4757	11346	56
1722	3345	20824	2
1533	2589	11090	5
1986	3930	20580	1
1539	5475	14925	6
2389	3457	11204	1
1384	4347	9651	11
3921	4759	10099	98
1769	2698	7494	270
3087	1519	23671	84
1876	1482	8877	5
4400	3605	18611	118
3340	4522	11878	5
4466	4594	23408	75
3099	4211	3653	5
2779	610	4425	99
1345	1345	6867	2
1283	3396	10482	68
2157	3560	9894	15
4175	3622	8561	4
2493	2155	5385	7
2933	4752	17279	7
2044	474	2724	4
1387	4616	4995	66
1962	3453	12683	70
3534	3896	3595	69
1972	3166	4987	2
1867	4045	8673	61
1602	3958	27006	23
3071	6638	8399	5
1700	3407	19125	2
2575	4626	30040	35
2551	4336	4189	33
1658	3974	8608	10
3441	2553	3996	125
1663	4409	7635	79
2450	3292	19636	51
2805	6751	9214	209
1602	3401	6337	73
2448	3685	9692	6
3519	8437	8220	6
3343	2823	21587	7
2035	4050	24656	6
3894	3104	8076	268
4151	5276	21727	63
1826	1947	5565	152
2791	5728	14437	161
3445	2815	13837	25
1602	1597	8357	5
196	3932	6999	76
2463	3084	37263	36
3117	2160	11124	4
1753	2720	9928	10
779	1851	5073	10
2723	2879	17306	74
4153	3298	7741	2
389	3457	34623	1
671	4368	11206	3
1473	7290	20198	84
3238	1263	10533	13
156	4786	16194	61
299	2176	14391	8
450	7537	26658	6
551	2316	6057	2
1212	3151	3636	143
431	6705	20401	178
964	4024	25920	11
3340	871	13016	3
601	3521	12829	2
3013	5659	7760	4
893	3799	19563	130
1339	3946	8820	3
2013	3699	14189	11
1528	6378	4672	52
852	3893	18321	48
1805	339	5338	7
703	2327	20880	8
774	3041	21490	2
947	936	16092	37
4458	3979	13582	1
427	3632	35698	2
3400	192	4852	126
1138	4164	19343	11
1643	918	14161	167
1400	1273	18283	10
687	4097	22968	62
1973	2687	9072	2
1432	3810	26456	2
1920	576	2727	2
344	4532	40807	216
1454	2009	12468	3
891	3159	8115	8
218	2948	18124	7
1417	1872	8389	106
885	206	32097	73
1927	3275	11741	3
2213	1853	57440	6
278	3269	8038	119
687	2762	10035	464
1393	3055	6482	54
843	3270	23004	8
3684	2058	11311	5
1683	2001	18271	65
1968	4421	7657	55
646	815	6032	47
4086	868	12383	4
3035	3249	10508	2
2621	2908	9759	5
944	3147	7781	70
2260	1813	18499	9
1896	2541	10233	10
4090	2258	13621	7
2203	1920	13745	7
3726	6397	16738	24
1510	3856	5976	74
4563	2087	1810	18
2061	7423	10558	5
4091	2615	12603	44
3464	8113	13802	3
4161	2476	3635	73
2791	2694	26006	74
2014	1822	6543	2
3371	4324	8738	4
2706	1243	21083	5
3446	1196	6788	7
3284	4673	6869	45
1830	4496	10483	142
1591	3272	11780	9
647	2781	21573	6
2164	8237	12440	59
3679	4236	9598	2
1736	4686	18960	2
2328	4045	19243	12
3699	4697	9137	8
4339	3557	2428	29
3428	3918	5313	50
2334	3545	15136	44
3607	3287	11684	38
2460	4620	9574	64
2225	10924	18387	9
3054	2819	16331	2
2340	4460	15709	6
3377	1812	5339	8
3119	3831	14201	51
559	5656	3162	4
2711	8172	12851	7
4602	1819	21895	4
1961	4497	8610	3
2257	1962	21612	7
2532	2029	14792	128
