	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
CMUT	0.650371588812021	5e-324	0.5036136678882052	5e-324	0.6670058610396481	5e-324	0.502281789961589	5e-324
CN	0.6279817240814968	5e-324	0.48835983557622065	5e-324	0.6876869819915258	5e-324	0.5117512507723561	5e-324
RM	0.6695501665334128	5e-324	0.5227489318419571	5e-324	0.6752147452740439	5e-324	0.5107413741175638	5e-324
VM	0.6399560450265241	5e-324	0.51413123109837	5e-324	0.6317476973865251	5e-324	0.4791791374863763	5e-324
CM	0.711907097349313	5e-324	0.5691954918207021	5e-324	0.711851945278513	5e-324	0.5435426261910921	5e-324
BAPP	0.7028511443381851	5e-324	0.5607694748661481	5e-324	0.7085365413321921	5e-324	0.5396606871141513	5e-324
CDSG	0.7082281152914548	5e-324	0.5618111008751687	5e-324	0.7176707094939584	5e-324	0.5440578036216289	5e-324
TrM	0.5613818846997348	5e-324	0.43346625189039273	5e-324	0.5613832684243871	5e-324	0.40694590208074344	5e-324
PN	0.7442337735012616	5e-324	0.5969815359655309	5e-324	0.7507355614375218	5e-324	0.573719599997932	5e-324
MPCMMS	0.669738549505175	5e-324	0.5246795615771053	5e-324	0.6754890950024517	5e-324	0.5104398506263066	5e-324
TM	0.6918300354027875	5e-324	0.544032498091791	5e-324	0.7032183931920822	5e-324	0.5323556397329842	5e-324
KN	0.6279817240814968	5e-324	0.48835983557622065	5e-324	0.673740907950064	5e-324	0.49731194575896565	5e-324
PTN	0.705274288662041	5e-324	0.5611965051757796	5e-324	0.7131027994649769	5e-324	0.5404220134304594	5e-324
EN	0.6322373449449555	5e-324	0.49143080133846173	5e-324	0.6579069647174146	5e-324	0.4931910991731057	5e-324
MN	0.6206425490125378	5e-324	0.4903809928819501	5e-324	0.6627366219006443	5e-324	0.4944918454297858	5e-324
EFM	0.616129659883897	5e-324	0.4732595349606515	5e-324	0.619460861036949	5e-324	0.461449175071299	5e-324
AM	0.6263063798391726	5e-324	0.48485872469378405	5e-324	0.6337493347117412	5e-324	0.4749971255659615	5e-324
IM	0.6282345285566787	5e-324	0.48664358460946555	5e-324	0.6307002787892517	5e-324	0.4693024621136817	5e-324
YM	0.4408474887578642	5e-324	0.3210300880954735	5e-324	0.4486654007978995	5e-324	0.3312380832950259	5e-324
AY	0.6908251105018832	5e-324	0.5407443564266127	5e-324	0.6964345079832758	5e-324	0.5232071799388397	5e-324
SGCode	0.7028511443381851	5e-324	0.5607694748661481	5e-324	0.7085365413321921	5e-324	0.5396606871141513	5e-324
BN	0.7196553256859752	5e-324	0.5664206041411344	5e-324	0.7216662011820554	5e-324	0.5441124822216632	5e-324
AFM	0.5891388633050794	5e-324	0.4479324046921391	5e-324	0.5991477871898191	5e-324	0.4398621987062484	5e-324
CDHN	0.6892309700957026	5e-324	0.5463336165796069	5e-324	0.6977334265241494	5e-324	0.5262321989237264	5e-324
SOM	0.7123347114182011	5e-324	0.5685196980925595	5e-324	0.7156017821554955	5e-324	0.5470905503550066	5e-324
