Archaea	Bacteria	Eukaryotes	Viruses
2256.0	1743.0	1022.0	55.0
1414.0	1252.0	7403.0	3.0
1673.0	3527.0	8957.0	1.0
1686.0	2668.0	10258.0	1.0
2047.0	2775.0	10470.0	3.0
3624.0	3063.0	8921.0	2.0
2221.0	3539.0	531.0	8.0
2301.0	3816.0	16696.0	11.0
2590.0	4108.0	9152.0	72.0
2493.0	5924.0	31219.0	65.0
2558.0	3798.0	13118.0	62.0
1570.0	6882.0	17972.0	78.0
3523.0	2630.0	11501.0	160.0
3732.0	4033.0	26848.0	1.0
4232.0	1537.0	23030.0	69.0
1434.0	2938.0	24427.0	1.0
1477.0	1332.0	27703.0	11.0
1478.0	2074.0	13377.0	9.0
2928.0	3188.0	3745.0	6.0
2764.0	2668.0	16307.0	6.0
1499.0	7632.0	27884.0	7.0
2421.0	3624.0	34528.0	61.0
3495.0	3322.0	5820.0	6.0
4203.0	2702.0	10676.0	27.0
2655.0	2716.0	11649.0	51.0
2998.0	2853.0	5389.0	78.0
1739.0	3144.0	3212.0	238.0
2065.0	589.0	27366.0	3.0
536.0	1182.0	10363.0	2.0
1967.0	2310.0	11426.0	11.0
4221.0	9368.0	5314.0	24.0
1822.0	3190.0	8375.0	7.0
1929.0	584.0	8711.0	2.0
2815.0	2824.0	12019.0	2.0
2152.0	4092.0	13867.0	1.0
3231.0	4304.0	21562.0	28.0
2250.0	5660.0	17613.0	48.0
2358.0	3997.0	25133.0	46.0
1795.0	4757.0	11346.0	56.0
1722.0	3345.0	20824.0	2.0
1533.0	2589.0	11090.0	5.0
1986.0	3930.0	20580.0	1.0
1539.0	5475.0	14925.0	6.0
2389.0	3457.0	11204.0	1.0
1384.0	4347.0	9651.0	11.0
3921.0	4759.0	10099.0	98.0
1769.0	2698.0	7494.0	270.0
3087.0	1519.0	23671.0	84.0
1876.0	1482.0	8877.0	5.0
4400.0	3605.0	18611.0	118.0
3340.0	4522.0	11878.0	5.0
4466.0	4594.0	23408.0	75.0
3099.0	4211.0	3653.0	5.0
