	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
PTN	0.6774810120183884	0.031106619773348963	0.5369469519627718	0.03516376475218239	0.7129709708970597	0.004999320046893317	0.5570041861701447	0.005059871331562826
EN	0.6130957205281399	0.051273911684251654	0.4802037939254367	0.052786084892938644	0.6463614477998605	0.017221328644001565	0.4945532900959928	0.016065455186661564
MN	0.6172741513784257	0.03780357170769832	0.490653774524611	0.04208830051729067	0.6531575703453922	0.011738890191481048	0.4998288649208708	0.012491079198454519
EFM	0.5916049845739959	0.06482696365767879	0.4619548412952521	0.06209678284555318	0.5942373310755062	0.04257898397811645	0.4571489672799003	0.03301450066062561
AM	0.5942750776762039	0.09008342321219227	0.4644336100983629	0.08913366460156917	0.6214495003020777	0.019828057835091836	0.47931251107366535	0.019065768842098194
IM	0.6326685738886563	0.04679313012895662	0.49731002273702946	0.049071787388757754	0.6377198918327046	0.016167643610785463	0.49026129617568903	0.01634466067510316
YM	0.43619021263660596	0.20579770222743257	0.3379192633472333	0.20667682959975067	0.48698682291580286	0.07096247753028527	0.3666285579615548	0.0770474465455926
AY	0.6738777992737451	0.029148862837045722	0.5330227488985457	0.03199580930232482	0.7014606056054676	0.006378163345056662	0.5456432111173343	0.0066300597016895856
SGCode	0.6804547217257152	0.02702231340367331	0.5460043199285991	0.029683427658928348	0.7077868299642406	0.005755568581477139	0.5544165858079696	0.005773260305790594
BN	0.6832550422341361	0.02388665885111372	0.5433170440438125	0.027008733738827242	0.7236268705718368	0.003136021883548261	0.5570432128488038	0.004401484893542064
AFM	0.5758136755055746	0.06876667448221961	0.447517311222435	0.06439695446603398	0.5708528773313357	0.05517438061742869	0.4344547691538609	0.04703084587556286
CDHN	0.6566965278824026	0.03772626807346619	0.5213470537890165	0.039815912488411986	0.6881528011017708	0.008755717076983197	0.5320926218417411	0.00838837028294726
SOM	0.6843746106333256	0.02535150449394295	0.5465100680861634	0.027970090694795943	0.7096505454562065	0.005581914810472842	0.556691725178616	0.005526541534467527
KN	0.5909116692368991	0.06944236811254396	0.46516273555455256	0.0753959338231307	0.6470953251389682	0.015439914028917544	0.4897226090243939	0.017069067788230686
CMUT	0.6574333601654749	0.02463530285267683	0.518322655312882	0.02771571512055817	0.6735689435211318	0.008903094958968346	0.5194052599923951	0.009858089181698873
CN	0.5909116692368991	0.06944236811254396	0.46516273555455256	0.0753959338231307	0.6770381242210864	0.010466885502149277	0.5166880153320754	0.011018119655781231
RM	0.6629497196254045	0.028148057835091833	0.5220258368881854	0.03246866467762965	0.690285285964211	0.007642751074638532	0.5369316912266824	0.007259898024399942
VM	0.6115608378903887	0.07524518952715904	0.49553507891779275	0.0686905936318969	0.6194781380814643	0.02210651817116061	0.4822925249004518	0.022067917741115523
CM	0.6863997630727002	0.02444042985541227	0.5507395864629071	0.026451678040551235	0.7102254148799793	0.005637928878468151	0.5576047794224541	0.0055895267131680065
BAPP	0.6804547217257152	0.027048878468151624	0.5460043199285991	0.029683427658928348	0.7077868299642406	0.0057532082844861275	0.5544165858079696	0.005773260305790594
CDSG	0.6794658858689112	0.027301406799531067	0.5393541070921977	0.03068963503610724	0.7100450889489331	0.005263556076592419	0.5541029868161459	0.005162366475840395
TrM	0.5350210764300963	0.11917533411488862	0.41894849798020967	0.10550554746349035	0.5272984482017665	0.09395860883157484	0.397247944841534	0.07786853543953369
PN	0.7114389505810609	0.01514041422430637	0.5736091097590995	0.016475318890796408	0.747292324555196	0.0018385775693630323	0.5853714700982917	0.0023105663426619023
MPCMMS	0.6444171700289132	0.044340390777647516	0.5102343482435261	0.049244724270423465	0.6754734398823777	0.00897112934740133	0.5222772134731978	0.0097432062151967
TM	0.6724981684313205	0.03013036342321219	0.5328985685445906	0.033612533314337015	0.702020622021849	0.006529136381398984	0.5454879530307777	0.006884906766406562
