Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000000792	0.5131742748561663	0.0215	0.3760296155875229	0.034715282118586106
UP000000554	0.5837053363292887	0.0089	0.4512355387050275	0.011276977602986916
UP000001686	0.6461293792422821	0.0022	0.5013728207833639	0.004869352361354306
UP000009079	0.5764090196251727	0.0118	0.4010982566266911	0.024294381874711276
UP000001059	0.58127323076125	0.0082	0.43870121818544333	0.013754646691026108
UP000001974	0.5845160381853016	0.0081	0.43870121818544333	0.013754646691026108
UP000000242	0.6745039442027336	0.0017	0.526441461822532	0.003113242568659604
UP000005877	0.7028785091631852	0.0007	0.5640444233812844	0.0015375785505993922
UP000002439	0.7393600926837658	0.0004	0.5891130644204525	0.0009387307069501378
UP000007490	0.5212812934162953	0.0197	0.3760296155875229	0.034715282118586106
UP000000578	0.31941653126908304	0.161	0.25068641039168194	0.159197416567865
UP000010878	0.564248491784979	0.0106	0.4512355387050275	0.011276977602986916
UP000000805	0.3802191704700506	0.0981	0.2757550514308501	0.12148907398875224
UP000002698	0.6047835845856242	0.0053	0.47630417974419564	0.007477956287680556
UP000000590	0.46128935607134064	0.0387	0.3258923335091865	0.06723367618455155
UP000001068	0.7669239557882043	0.0001	0.6141817054596207	0.0005625601518542611
UP000009227	0.3956225057342957	0.082	0.28828937195043425	0.10545966312062015
UP000000254	0.6039728827296112	0.0057	0.43870121818544333	0.013754646691026108
UP000003484	0.5464130509526953	0.0146	0.43870121818544333	0.013754646691026108
UP000001746	0.5950551623134693	0.0081	0.4637698592246116	0.00920391540004101
UP000007722	0.37616566118998607	0.1061	0.263220730911266	0.13936368008475344
UP000001013	0.5918123548894177	0.0082	0.41363257714627516	0.020188267493107682
UP000006565	0.6258618328419596	0.0038	0.47630417974419564	0.007477956287680556
UP000001975	0.5780304233371985	0.0097	0.4512355387050275	0.011276977602986916
UP000002457	0.7442243038198431	0.0	0.6016473849400367	0.0007283941242787878
UP000000641	0.7361172852597141	0.0005	0.5891130644204525	0.0009387307069501378
UP000000262	0.6907179813229917	0.0013	0.5389757823421162	0.0024722419771235314
UP000001826	0.6388330625381661	0.0023	0.5389757823421162	0.0024722419771235314
UP000001137	0.7369279871157269	0.0006	0.5765787439008685	0.0012041944789734254
UP000011511	0.5707341066330824	0.0085	0.4512355387050275	0.011276977602986916
UP000001015	0.5034458525840115	0.0261	0.3760296155875229	0.034715282118586106
UP000006622	0.5853267400413146	0.0084	0.43870121818544333	0.013754646691026108
UP000003980	0.7255781611315464	0.0005	0.5891130644204525	0.0009387307069501378
UP000007807	0.6923393850350176	0.0007	0.5515101028617002	0.001954192271985105
UP000000346	0.8042162411647978	0.0	0.651784667018373	0.00025200121633434623
UP000010468	0.5577628769368759	0.0115	0.43870121818544333	0.013754646691026108
UP000002071	0.5910016530334048	0.0062	0.4512355387050275	0.011276977602986916
UP000002487	0.5577628769368759	0.0123	0.4010982566266911	0.024294381874711276
UP000001879	0.5383060323925662	0.0161	0.41363257714627516	0.020188267493107682
UP000000663	0.7296316704116108	0.0003	0.5891130644204525	0.0009387307069501378
UP000000365	0.6988249998831206	0.001	0.5515101028617002	0.001954192271985105
UP000001018	0.5796518270492241	0.0103	0.43870121818544333	0.013754646691026108
UP000011514	0.5601949825049145	0.0117	0.43870121818544333	0.013754646691026108
UP000005223	0.6388330625381661	0.0025	0.47630417974419564	0.007477956287680556
UP000001169	0.6064049882976499	0.0066	0.47630417974419564	0.007477956287680556
UP000010469	0.44345391523905686	0.0489	0.3258923335091865	0.06723367618455155
UP000002518	0.7774630799163721	0.0	0.6267160259792048	0.00043245894294251263
UP000002199	0.5991086715935339	0.0058	0.4512355387050275	0.011276977602986916
UP000001901	0.548845156520734	0.0149	0.4010982566266911	0.024294381874711276
UP000008037	0.6939607887470433	0.0009	0.5389757823421162	0.0024722419771235314
UP000006663	0.5999193734495467	0.0072	0.4637698592246116	0.00920391540004101
UP000000391	0.4961495358798954	0.0278	0.36349529506793876	0.04122348428745429
UP000000674	0.7442243038198431	0.0002	0.6016473849400367	0.0007283941242787878
UP000002593	0.7685453595002302	0.0001	0.6267160259792048	0.00043245894294251263
UP000001024	0.6663969256426047	0.0024	0.526441461822532	0.003113242568659604
UP000001931	0.3623837296377667	0.1131	0.2757550514308501	0.12148907398875224
UP000010824	0.7344958815476884	0.0005	0.5891130644204525	0.0009387307069501378
UP000002315	0.5293883119764243	0.0184	0.3760296155875229	0.034715282118586106
UP000001304	0.6331581495460756	0.0033	0.5013728207833639	0.004869352361354306
UP000005233	0.7004464035951464	0.0014	0.5640444233812844	0.0015375785505993922
UP000002613	0.5447916472406694	0.0142	0.388563936107107	0.029105639007879092
UP000001037	0.7685453595002302	0.0001	0.6267160259792048	0.00043245894294251263
UP000000536	0.6258618328419596	0.0042	0.48883850026377973	0.0060480821485196104
UP000006681	0.6996357017391336	0.0011	0.5389757823421162	0.0024722419771235314
UP000008136	0.5934337586014435	0.0082	0.43870121818544333	0.013754646691026108
UP000001400	0.5253348026963599	0.0197	0.3760296155875229	0.034715282118586106
UP000002376	0.6834216646188755	0.0014	0.526441461822532	0.003113242568659604
UP000011554	0.565869895497005	0.0116	0.43870121818544333	0.013754646691026108
UP000000740	0.5828946344732758	0.0087	0.4637698592246116	0.00920391540004101
UP000005270	0.7669239557882043	0.0001	0.6141817054596207	0.0005625601518542611
UP000001941	0.663154118218553	0.0015	0.5139071413029479	0.0039024561821943593
UP000002654	0.7580062353720625	0.0005	0.6016473849400367	0.0007283941242787878
UP000010846	0.5901909511773918	0.0075	0.4512355387050275	0.011276977602986916
UP000001488	0.6258618328419596	0.0045	0.48883850026377973	0.0060480821485196104
UP000011602	0.548845156520734	0.0136	0.43870121818544333	0.013754646691026108
UP000002408	0.7166604407154045	0.0003	0.5640444233812844	0.0015375785505993922
UP000011867	0.573166212201121	0.0099	0.4512355387050275	0.011276977602986916
UP000031483	0.613701305001766	0.0056	0.47630417974419564	0.007477956287680556
UP000005741	0.5934337586014435	0.0058	0.4512355387050275	0.011276977602986916
UP000008243	0.6201869198498693	0.0051	0.48883850026377973	0.0060480821485196104
