Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000002583	0.5239856952448853	0.0199	0.41738142899944514	0.01497914681172127
UP000009210	0.48628334712888033	0.0302	0.3716409984241634	0.030290901125035807
UP000007611	0.6694090379780472	0.0011	0.4859920748623676	0.00461409774025398
UP000000216	0.6324761255378791	0.0026	0.45168675193090635	0.008467277622636379
UP000129190	0.6540203244613105	0.002	0.5088622901500084	0.003015853062510558
UP000201138	0.6878754941981313	0.0006	0.55460272072529	0.0012261135735583332
UP000201614	0.5788841558383244	0.0081	0.4610587258002279	0.007586368221382867
UP000007616	0.6501731460821264	0.0016	0.4859920748623676	0.00461409774025398
UP000001265	0.5101358530798221	0.0232	0.38307610606798387	0.02555422914270045
UP000201139	0.5618993234298107	0.011	0.470078093001575	0.006254833908408512
UP000129308	0.6747950877089051	0.002	0.5431676130814697	0.0015450807617397823
UP000154329	0.8309905299037826	0.0	0.691824012451135	5.5166269207844974e-05
UP000024438	0.483205604425533	0.0334	0.3716409984241634	0.030290901125035807
UP000202084	0.7578941406992833	0.0003	0.6232133665882126	0.0002805137898912058
UP000201615	0.6117768000647206	0.0054	0.4885703002482417	0.004575706365532322
UP000201141	0.698647593659847	0.0009	0.5660378283691105	0.0009689551851851471
UP000000227	0.7201917925832784	0.0005	0.5431676130814697	0.0015450807617397823
UP000102095	0.6824894444672734	0.0012	0.5660378283691105	0.0009689551851851471
UP000129376	0.6324761255378791	0.0039	0.5317325054376493	0.001938959514551271
UP000007621	0.5432215871408062	0.0154	0.4059463213556247	0.017970348578322845
UP000201142	0.7902104390844304	0.0001	0.6232133665882126	0.0002805137898912058
UP000201616	0.6494037104062895	0.0021	0.45168675193090635	0.008467277622636379
UP000002584	0.49320826821141184	0.0295	0.3945112137118043	0.02147235559808863
UP000102185	0.5886182920151796	0.0067	0.4859920748623676	0.00461409774025398
UP000009212	0.47320294063965407	0.0362	0.3602058907803431	0.03576305505352204
UP000001284	0.7371193774516888	0.0005	0.5774729360129309	0.0007625471450246182
UP000154424	0.7001864650115207	0.001	0.55460272072529	0.0012261135735583332
UP000007626	0.5455298941683167	0.0137	0.4288165366432656	0.012435565442633927
UP000009213	0.47397237631549094	0.0398	0.3716409984241634	0.030290901125035807
UP000007627	0.623242897427837	0.0043	0.4859920748623676	0.00461409774025398
UP000129398	0.6555591958129842	0.002	0.5317325054376493	0.001938959514551271
UP000201617	0.806368588277004	0.0	0.6575186895196737	0.00012678383554541836
UP000202086	0.5024414963214539	0.0294	0.26872502962977973	0.11726047221692369
UP000201144	0.7058379172399131	0.0009	0.533137349379835	0.0019294277682787933
UP000007629	0.8433015007171721	0.0	0.7032591200949555	4.145073272734225e-05
UP000129482	0.5085969817281486	0.0228	0.3945112137118043	0.02147235559808863
UP000102219	0.48628334712888033	0.0327	0.3716409984241634	0.030290901125035807
UP000154509	0.5370661017341115	0.017	0.41738142899944514	0.01497914681172127
UP000201618	0.459353098474591	0.042	0.3716409984241634	0.030290901125035807
UP000201146	0.7332721990725046	0.0004	0.5889080436567513	0.000597607994099513
UP000007639	0.7886715677327569	0.0002	0.634648474232033	0.00021618214964686503
UP000201619	0.7979047958427988	0.0	0.634648474232033	0.00021618214964686503
UP000009246	0.7001864650115207	0.0006	0.5660378283691105	0.0009689551851851471
UP000202089	0.7809772109743884	0.0001	0.6117782589443921	0.0003624625832649388
UP000154597	0.6332455612137159	0.0025	0.5088622901500084	0.003015853062510558
UP000129753	0.2592998227570137	0.2651	0.18867927612303684	0.2714208617753704
UP000001295	0.8071380239528408	0.0001	0.6575186895196737	0.00012678383554541836
UP000201620	0.5501465082233377	0.0129	0.41738142899944514	0.01497914681172127
UP000129778	0.5855405493118321	0.0081	0.4859920748623676	0.00461409774025398
UP000201147	0.8048297169253302	0.0	0.6689537971634941	9.647995939108537e-05
UP000154639	0.7309638920449941	0.0003	0.5660378283691105	0.0009689551851851471
UP000202090	0.7119957180446234	0.0008	0.6305925637826006	0.0002447284880899877
UP000129924	0.8356071439588039	0.0	0.691824012451135	5.5166269207844974e-05
UP000009247	0.7194223569074415	0.0005	0.5774729360129309	0.0007625471450246182
UP000001297	0.7186529212316046	0.0005	0.5317325054376493	0.001938959514551271
UP000007643	0.6301678185103685	0.0043	0.3945112137118043	0.02147235559808863
UP000201148	0.5447604584924799	0.0159	0.4745569672185472	0.005672166082843598
UP000009248	0.538604973085785	0.0162	0.3716409984241634	0.030290901125035807
UP000001305	0.6224734617520002	0.0037	0.45168675193090635	0.008467277622636379
UP000154645	0.5355272303824378	0.0144	0.4631218595747268	0.00694437268003918
UP000007661	0.670178473653884	0.0017	0.55460272072529	0.0012261135735583332
UP000024440	0.694030979604826	0.0013	0.5431676130814697	0.0015450807617397823
UP000009249	0.6117013622902845	0.0056	0.4745569672185472	0.005672166082843598
UP000026904	0.5185996455140274	0.0163	0.38307610606798387	0.02555422914270045
UP000001308	0.628628947158695	0.0041	0.5088622901500084	0.003015853062510558
UP000026905	0.4378088995511596	0.0554	0.3602058907803431	0.03576305505352204
UP000000228	0.7578941406992833	0.0003	0.5660378283691105	0.0009689551851851471
UP000202092	0.6570980671646579	0.002	0.4745569672185472	0.005672166082843598
UP000202093	0.6463259677029422	0.003	0.4745569672185472	0.005672166082843598
UP000154662	0.6417093536479211	0.0026	0.5202973977938289	0.002423187993305488
UP000201622	0.7525080909684255	0.0001	0.5660378283691105	0.0009689551851851471
UP000102282	0.7979047958427988	0.0	0.634648474232033	0.00021618214964686503
UP000026980	0.5570714293058692	0.0127	0.45168675193090635	0.008467277622636379
UP000154663	0.5101358530798221	0.0238	0.3945112137118043	0.02147235559808863
UP000202098	0.6124707979661214	0.0059	0.4745569672185472	0.005672166082843598
UP000007662	0.5032109319972907	0.0263	0.41738142899944514	0.01497914681172127
UP000009250	0.6540203244613105	0.0022	0.5088622901500084	0.003015853062510558
UP000007663	0.5563019936300323	0.0117	0.4288165366432656	0.012435565442633927
UP000154838	0.6263206401311844	0.0031	0.4631218595747268	0.00694437268003918
UP000026983	0.48705278280471703	0.0315	0.3716409984241634	0.030290901125035807
UP000002585	0.5462993298441535	0.0153	0.4402516442870859	0.010282204695986176
UP000007664	0.6240123331036739	0.0035	0.4631218595747268	0.00694437268003918
UP000007665	0.6532508887854737	0.0028	0.4859920748623676	0.00461409774025398
UP000129991	0.548607636871664	0.0143	0.4402516442870859	0.010282204695986176
UP000026985	0.5778461925534638	0.0078	0.4631218595747268	0.00694437268003918
