Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000007611	0.6900093217221306	0.0013	0.518032471077517	0.00229016445704237
UP000007616	0.7359588880965232	0.0004	0.5856019238267584	0.0005656612835735052
UP000001295	0.8286238469515486	0.0	0.6644329520342066	9.166317249807616e-05
UP000154597	0.7528070624338006	0.0002	0.5968634992849652	0.00044163589788033785
UP000102297	0.8722759350072217	0.0	0.7432639802416549	1.2101155095096539e-05
UP000007621	0.5062110562245598	0.0227	0.3603704146626205	0.03387307873258407
UP000007626	0.5958127106546255	0.0065	0.42793986741186185	0.011756321855796328
UP000002602	0.8041174115518726	0.0	0.6531713765759997	0.00012037432282427127
UP000007627	0.7237056703966852	0.0007	0.6081250747431721	0.00034337713058196003
UP000009246	0.7788451500459564	0.0	0.630648225659586	0.00020500815924497171
UP000007629	0.9075039358942559	0.0	0.7883102820744823	3.468029709352986e-06
UP000000278	0.6432939292414979	0.003	0.518032471077517	0.00229016445704237
UP000009247	0.7595935218954002	0.0001	0.6155935200823918	0.0003680351929042133
UP000000280	0.6792877562347722	0.0015	0.5405556219939308	0.0014607557431868781
UP000002610	0.8071807159768319	0.0	0.630648225659586	0.00020500815924497171
UP000007639	0.8163706292517104	0.0001	0.6644329520342066	9.166317249807616e-05
UP000131152	0.592749406229666	0.0082	0.47298616924468945	0.005359827354632677
UP000001323	0.7152815832280466	0.0005	0.5856019238267584	0.0005656612835735052
UP000000287	0.762762801814919	0.0002	0.5968634992849652	0.00044163589788033785
UP000201164	0.4143119234757743	0.0676	0.315324112829793	0.06339913941726608
UP000002611	0.674692799597333	0.0015	0.518032471077517	0.00229016445704237
UP000009248	0.56747714472375	0.01	0.4617245937864825	0.006562356253726341
UP000001324	0.7780793239397166	0.0001	0.630648225659586	0.00020500815924497171
UP000007643	0.7045600177406882	0.0009	0.48424774470289633	0.004359948400299207
UP000009249	0.4227360106444129	0.0609	0.315324112829793	0.06339913941726608
UP000007661	0.6570787991538157	0.0024	0.5292940465357239	0.0018327897336612605
UP000009250	0.7742501934085172	0.0	0.6193866502013791	0.0002658731966278129
UP000007662	0.44341331551288965	0.0519	0.3378472637462067	0.046703340749330656
UP000002632	0.5521606225989524	0.0111	0.4054167164954481	0.016996808793112616
UP000001358	0.6034709717170242	0.0079	0.4504630183282757	0.008002266188358139
UP000009251	0.579730362423588	0.0087	0.43920144287006874	0.009718857244699551
UP000007663	0.6149583633106225	0.0045	0.48424774470289633	0.004359948400299207
UP000002633	0.6226166243730212	0.0039	0.4504630183282757	0.008002266188358139
UP000009252	0.5161667956056781	0.0216	0.42793986741186185	0.011756321855796328
