Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000009079	0.31691488167122495	0.17	0.24878652865881878	0.15509707131808037
UP000002439	0.5627971174506236	0.0114	0.45018514709691015	0.01009081989105877
UP000001686	0.5159624058735953	0.021	0.40279723687618285	0.021341330637023936
UP000000792	0.36609132882710466	0.1143	0.2961744388795462	0.09053796040133269
UP000002698	0.5276710837678523	0.0209	0.40279723687618285	0.021341330637023936
UP000001059	0.4183900900881196	0.0629	0.34356234910027356	0.049602331459594674
UP000001974	0.4261958753509577	0.0594	0.34356234910027356	0.049602331459594674
UP000000242	0.4667859587177155	0.0391	0.3791032817658191	0.03027410916432036
UP000005877	0.6463190197629907	0.0022	0.5094200348728195	0.0036002636343683892
UP000007490	0.25209584761998294	0.2769	0.18762053512732876	0.29153774693640466
UP000009227	0.36896208730337027	0.109	0.27913951933075437	0.11144472739691465
UP000000554	0.5940202585019757	0.0082	0.46203212465209204	0.008280720914880945
UP000001068	0.42580361445199766	0.0625	0.35495423559002065	0.047956161827259015
UP000000578	0.3137925675660897	0.1813	0.24878652865881878	0.15509707131808037
UP000007722	0.3715553785110913	0.1056	0.2843274613243643	0.104191518958961
UP000002457	0.5987037296596787	0.0057	0.45018514709691015	0.01009081989105877
UP000000254	0.3699942214585237	0.106	0.308021416434728	0.07836213269113079
UP000001975	0.5284516622941361	0.0175	0.40279723687618285	0.021341330637023936
UP000001746	0.49410620713764863	0.0294	0.34356234910027356	0.049602331459594674
UP000000805	0.26071322777879097	0.2718	0.18955164088290954	0.2787006962460802
UP000006565	0.5955814155545434	0.007	0.45018514709691015	0.01009081989105877
UP000001137	0.6158764572379224	0.0038	0.48572607976245574	0.005506446088879325
UP000000262	0.4823975292433917	0.031	0.39095025932100097	0.025470696562158897
UP000000590	0.32706240251291435	0.1651	0.2606335062140006	0.1363666055172795
UP000000346	0.7048624092342762	0.0011	0.5568079450935468	0.001462489258026938
UP000005223	0.4948867856639325	0.03	0.39095025932100097	0.025470696562158897
UP000001826	0.4823975292433917	0.031	0.3672563042106373	0.03583605200487763
UP000007807	0.5153731140987592	0.0208	0.4119861894783072	0.01933966643112099
UP000006622	0.5198652985050143	0.0196	0.39095025932100097	0.025470696562158897
UP000000641	0.5674805886083264	0.0094	0.46203212465209204	0.008280720914880945
UP000011511	0.5862651506804949	0.0064	0.45852832731506854	0.009083004027449323
UP000002071	0.4816169507171078	0.0321	0.35540932665545544	0.04224686715250246
UP000000365	0.5268905052415686	0.0169	0.4146442144313646	0.017807652812901
UP000001013	0.32394008840777916	0.1695	0.2606335062140006	0.1363666055172795
UP000000663	0.47146942987541834	0.0407	0.34356234910027356	0.049602331459594674
UP000002487	0.5089371991370409	0.0212	0.4146442144313646	0.017807652812901
UP000000391	0.4269764538772414	0.0611	0.3198683939899099	0.0675537369884263
UP000001169	0.520645877031298	0.0204	0.39095025932100097	0.025470696562158897
UP000000674	0.589336787344273	0.0081	0.45018514709691015	0.01009081989105877
UP000006663	0.42755165697991526	0.0616	0.32416212160133867	0.06683391223403146
UP000001879	0.5432826542935284	0.0147	0.4264911919865465	0.014797554799736665
UP000002199	0.4137066189304167	0.0693	0.33171537154509173	0.05800306162604055
UP000002518	0.6338297633424499	0.003	0.49757305731763757	0.004461930445873531
UP000001015	0.3762388496687941	0.1077	0.3198683939899099	0.0675537369884263
UP000001304	0.4269764538772414	0.0629	0.34356234910027356	0.049602331459594674
UP000000536	0.43790455324521466	0.0548	0.34356234910027356	0.049602331459594674
UP000006681	0.6250881500240166	0.003	0.4691919580240339	0.007462544715469551
UP000001901	0.42229298271953863	0.0656	0.33171537154509173	0.05800306162604055
UP000000740	0.520645877031298	0.0247	0.39095025932100097	0.025470696562158897
UP000002593	0.5549913321877855	0.0112	0.4383381695417284	0.012245180119465357
UP000008243	0.5924591014494082	0.0067	0.46203212465209204	0.008280720914880945
UP000001018	0.46054133050744506	0.042	0.3791032817658191	0.03027410916432036
UP000002315	0.3294041380917658	0.15	0.2724804837691825	0.11943216320053596
UP000001400	0.27476364125189945	0.2418	0.20139861843809143	0.24975469668277162
UP000002613	0.3114508319872383	0.186	0.2606335062140006	0.1363666055172795
UP000002376	0.46834711577028315	0.0408	0.40279723687618285	0.021341330637023936
UP000001931	0.33486818777575245	0.1439	0.2843274613243643	0.104191518958961
UP000012076	0.4963819153111085	0.0271	0.3440358349615704	0.052822065684558106
UP000001024	0.47459174398055365	0.0313	0.34356234910027356	0.049602331459594674
UP000002654	0.6197793498693415	0.0044	0.4738791022072739	0.0067668235712391115
UP000001488	0.41604835450926814	0.0714	0.34356234910027356	0.049602331459594674
UP000012672	0.44151897713526556	0.0525	0.31471831698777725	0.07706622320856822
UP000006794	0.6385132345001526	0.0018	0.5212670124280012	0.0028926863418734057
UP000002408	0.5479661254512312	0.0149	0.4264911919865465	0.014797554799736665
UP000001941	0.6400743915527203	0.0026	0.48572607976245574	0.005506446088879325
UP000058290	0.21390360382950757	0.3648	0.16341143382057668	0.35862751544287197
UP000014070	0.36134408318013095	0.1165	0.26703473677513795	0.13448275025226003
