Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000001227	0.558756862834846	0.0128	0.4467711971310871	0.007738676716083522
UP000007719	0.5861245459124711	0.0068	0.4467711971310871	0.007738676716083522
UP000000212	0.5367106736889814	0.0159	0.4136770343806362	0.013663712868181209
UP000005746	0.7222027478817739	0.0007	0.5239909102154724	0.0017866482733689387
UP000003868	0.7222027478817739	0.0005	0.535022297798956	0.001425978781245763
UP000015620	0.5823234788183566	0.0088	0.4247084219641198	0.011349668974963626
UP000033067	0.7746574737805554	0.0	0.6012106232998579	0.0003385044196566671
UP000020766	0.720682321044128	0.0003	0.5460536853824397	0.0011335246649459294
UP000002257	0.7024371989923779	0.001	0.5239909102154724	0.0017866482733689387
UP000000231	0.6195739363406796	0.0052	0.4688339722980543	0.00519345973807469
UP000001231	0.49870000274783544	0.0244	0.36955148404670163	0.02759852460080577
UP000010390	0.6248954302724401	0.004	0.47986535988153795	0.0042291702464738986
UP000037773	0.7906219555758367	0.0001	0.6122420108833415	0.0002625901774146991
UP000007721	0.60665030822069	0.0047	0.45780258471457064	0.00635222368640422
UP000033070	0.691033997710034	0.0008	0.5129595226319889	0.002229525881731274
UP000005753	0.531389179757221	0.0175	0.4136770343806362	0.013663712868181209
UP000003874	0.5929664666818775	0.0067	0.4467711971310871	0.007738676716083522
UP000015812	0.5701600641171899	0.009	0.4136770343806362	0.013663712868181209
UP000033094	0.673549089077107	0.0012	0.568116460549407	0.0007075954548510085
UP000000233	0.6986361318982633	0.001	0.5129595226319889	0.002229525881731274
UP000029738	0.6408599120677214	0.0039	0.47986535988153795	0.0042291702464738986
UP000002297	0.6043696679642212	0.0065	0.4688339722980543	0.00519345973807469
UP000033103	0.5732009177924815	0.0093	0.4136770343806362	0.013663712868181209
UP000001235	0.6697480219829923	0.0012	0.5019281350485052	0.002771003715874251
UP000021053	0.7716166201052636	0.0	0.6012106232998579	0.0003385044196566671
UP000037778	0.5648385701854294	0.0123	0.4247084219641198	0.011349668974963626
UP000007727	0.5830836922371795	0.008	0.47986535988153795	0.0042291702464738986
UP000015854	0.5534353689030855	0.0112	0.4136770343806362	0.013663712868181209
UP000005766	0.6507426865124193	0.002	0.5019281350485052	0.002771003715874251
UP000021369	0.5131440577054709	0.021	0.3805828716301853	0.023286208985200164
