Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.7651649597740967	0.0001	0.6231481892603512	0.0004758385905661315
UP000001568	0.657917545995835	0.0026	0.5357494075817911	0.0023855411007272045
UP000002669	0.7271301536157111	0.0006	0.5844538991801358	0.000920933249656619
UP000054321	0.8144574043213157	0.0	0.6793598583969169	0.00012566615204404483
UP000006882	0.3867813798906096	0.0928	0.2868948706681754	0.10458497645043133
UP000008311	0.7128103037633229	0.001	0.596630022079722	0.0007178644512651488
UP000002753	0.6085936187264979	0.0052	0.49922103888303265	0.004649097686938242
UP000011116	0.8440755940768814	0.0	0.7183912510755835	4.641074815222981e-05
UP000011185	0.465395120202616	0.0427	0.3774598098871711	0.03235051370413812
UP000001593	0.635642224003231	0.0035	0.523573284682205	0.0029929595713661153
UP000042958	0.8273691025824285	0.0	0.6940390052764114	8.321904880388086e-05
UP000000226	0.5425631999627079	0.0146	0.41398817858592957	0.018917408823668942
UP000002762	0.8400978580067734	0.0	0.7062151281759974	6.228841558294716e-05
UP000030752	0.6165827231709294	0.0042	0.532041326454746	0.002905976457796827
UP000017836	0.8178225360141697	0.0	0.6818628823768251	0.00011067959308095672
UP000006906	0.7780451753130913	0.0002	0.6453345136780666	0.0002533993307504296
UP000006911	0.7597475893905954	0.0002	0.6331583907784805	0.0003309753175126032
UP000002852	0.8305512914385147	0.0	0.7183912510755835	4.641074815222981e-05
UP000028524	0.756565400534509	0.0002	0.6331583907784805	0.0003309753175126032
UP000007014	0.6857616984865896	0.0011	0.5357494075817911	0.0023855411007272045
UP000028545	0.45638805831792784	0.0428	0.3479062120663646	0.05581250002636515
UP000008333	0.478123875626961	0.0326	0.3774598098871711	0.03235051370413812
UP000000267	0.5099457641878237	0.0232	0.3896359327867572	0.0271686189883272
UP000011712	0.8050937805898246	0.0	0.6940390052764114	8.321904880388086e-05
UP000008370	0.662542178516322	0.0014	0.5066441333076289	0.004154507016125604
UP000054361	0.8711241993536145	0.0	0.7427434968747559	2.541625012384644e-05
UP000018087	0.4092594194031047	0.0738	0.32968258244784243	0.06616565399448722
UP000000304	0.7000815483389778	0.0009	0.5844538991801358	0.000920933249656619
UP000011713	0.6618952820659427	0.0018	0.5479255304813774	0.001892983734495984
UP000007015	0.786000647453307	0.0002	0.6575106365776529	0.00019313281202696202
UP000008524	0.8321423858665578	0.0001	0.6940390052764114	8.321904880388086e-05
UP000008536	0.5544964081730314	0.0127	0.45051654728468804	0.010641487339981642
UP000054383	0.8202091776562344	0.0	0.7062151281759974	6.228841558294716e-05
UP000028761	0.7684986087448326	0.0002	0.669686759477239	0.00014653602094977719
UP000007062	0.7708852503868973	0.0001	0.6453345136780666	0.0002533993307504296
UP000001595	0.7446321923241855	0.0003	0.6453345136780666	0.0002533993307504296
UP000000305	0.7677030615308109	0.0001	0.6575106365776529	0.00019313281202696202
UP000004994	0.7271301536157111	0.0002	0.596630022079722	0.0007178644512651488
UP000053732	0.7637253254607032	0.0	0.6088061449793081	0.0005570712934062234
UP000001610	0.8583954439292695	0.0	0.7305673739751698	3.4423426966991635e-05
UP000018468	0.454257459206314	0.0472	0.3287553182888264	0.06233338817661764
