Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000001227	0.3116006254226554	0.1698	0.2672396004498267	0.13674363253164004
UP000007719	0.2822351214561224	0.2259	0.2672396004498267	0.13674363253164004
UP000001231	0.5359204473892266	0.0198	0.43267363882352894	0.01598808448501115
UP000002257	0.5269476545105638	0.0174	0.43267363882352894	0.01598808448501115
UP000000231	0.4780051478996756	0.0369	0.3817708577854667	0.03352377971111793
UP000001235	0.47940897339267513	0.0351	0.37639984282255173	0.036508114306982406
UP000007721	0.4780051478996756	0.0361	0.3817708577854667	0.03352377971111793
UP000005753	0.08483367812553967	0.7234	0.06362847629757779	0.7231198602259339
UP000007727	0.22105698819251207	0.3454	0.19088542889273336	0.2878378208315907
UP000000233	0.5816001202260558	0.0083	0.45812502934256	0.01074438106705256
UP000001258	0.3956185951046802	0.0821	0.31814238148788887	0.07648401442154738
UP000007730	0.5196062785189306	0.0192	0.4199479435640133	0.0193701886944754
UP000005766	0.714673962717797	0.0005	0.5770225499224078	0.0015567509870838354
UP000002301	0.5285790713975934	0.0191	0.43267363882352894	0.01598808448501115
UP000001259	0.3646216742511177	0.1119	0.30541668622837337	0.08901758003148473
UP000000235	0.6329897521674884	0.0045	0.45812502934256	0.01074438106705256
UP000000238	0.5310261967281379	0.0179	0.43267363882352894	0.01598808448501115
UP000002318	0.48440112197381874	0.034	0.3739990105271134	0.03939079741448255
UP000007742	0.5865276808352429	0.0077	0.47974522698517524	0.007826205567011944
UP000001275	0.5481560740419487	0.015	0.4199479435640133	0.0193701886944754
UP000000239	0.6166755832971924	0.0044	0.45812502934256	0.01074438106705256
UP000002350	0.49921356743106043	0.026	0.39449655304498227	0.0280481631971811
UP000007753	0.5685487851298189	0.0111	0.43267363882352894	0.01598808448501115
UP000007794	0.43885114261096486	0.06	0.40722224830449777	0.023361497331439676
UP000007803	0.20405695708320853	0.3867	0.14871242253216313	0.41376758680742753
UP000000245	0.5816001202260558	0.0091	0.43267363882352894	0.01598808448501115
UP000000246	0.5432618233808599	0.0153	0.43267363882352894	0.01598808448501115
UP000002357	0.7015092614227321	0.0011	0.5472048961591689	0.002312042163158043
UP000016160	0.34096612938918835	0.1433	0.2799652957093422	0.11902336735208256
UP000001303	0.16923380970224552	0.4706	0.15475821125259864	0.3939658699999159
UP000007809	0.7161920134059985	0.0005	0.5472048961591689	0.002312042163158043
UP000002361	0.634621169054518	0.0031	0.4835764198615911	0.0070892752432628655
UP000000247	0.3817515515649286	0.0964	0.3308680767474045	0.06542838465646371
UP000001306	0.634621169054518	0.0021	0.4835764198615911	0.0070892752432628655
UP000002366	0.5304099280089172	0.017	0.421057451293024	0.01931816698624157
UP000007841	0.4698480634645275	0.0357	0.3690451625259511	0.03988913150138502
UP000001319	0.14519610294563523	0.5456	0.1399826478546711	0.4357188057751644
UP000000248	0.47392660568210154	0.0362	0.3817708577854667	0.03352377971111793
UP000007842	0.7488203511465907	0.0002	0.5981076771972311	0.0008673771194458738
UP000002382	0.31894200141428863	0.1723	0.2926909909688578	0.1031555203680498
UP000000260	0.5652859513557597	0.0123	0.44539933408304444	0.013136547486576357
UP000001349	0.30018070721344814	0.1965	0.2799652957093422	0.11902336735208256
UP000002383	0.5269476545105638	0.0183	0.40722224830449777	0.023361497331439676
UP000001362	0.5873100793306594	0.0073	0.44539933408304444	0.013136547486576357
UP000004073	0.5122649025272974	0.0234	0.3817708577854667	0.03352377971111793
UP000010481	0.46740093813398303	0.0391	0.3563194672664356	0.047251747490789815
UP000010716	0.36980384523949383	0.1085	0.27727512849423924	0.1268260861430502
