Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000001227	0.4617806408690575	0.0461	0.35688712648767756	0.04723232327101212
UP000007719	0.39865954607400655	0.0853	0.3049762717258335	0.08996194446901142
UP000000212	0.39035413886413145	0.0885	0.29199855803537256	0.10449423475504759
UP000005746	0.7375201602369121	0.0002	0.5904859729159756	0.0010272058616155085
UP000003868	0.7624363818665374	0.0	0.6034636866064367	0.0007933044601578954
UP000015620	0.40696495328388166	0.0731	0.31795398541629455	0.07710243709446646
UP000033067	0.7092817757233366	0.0011	0.5645305455350537	0.001697216534725852
UP000020766	0.7441644860048122	0.0003	0.5775082592255146	0.001323595035818648
UP000002257	0.7441644860048122	0.0003	0.5904859729159756	0.0010272058616155085
UP000000231	0.671076902557911	0.0019	0.5385751181541316	0.0027502594659716694
UP000001231	0.5132741655702835	0.0211	0.4087979812495216	0.023036818040310342
UP000010390	0.61460013353076	0.0056	0.4996419770827486	0.005471222878076791
UP000037773	0.735859078794937	0.0004	0.5775082592255146	0.001323595035818648
UP000007721	0.6494828438122356	0.0031	0.5255974044636706	0.0034756643550880803
UP000033070	0.7192482643751867	0.001	0.5775082592255146	0.001323595035818648
UP000005753	0.5116130841283084	0.0222	0.4087979812495216	0.023036818040310342
UP000003874	0.5082909212443584	0.0277	0.38284255386859956	0.0332942212864383
UP000015812	0.42025360481968194	0.0691	0.3309316991067556	0.06578222379345955
UP000033094	0.49666335115053317	0.027	0.38284255386859956	0.0332942212864383
UP000000233	0.7026374499554365	0.0008	0.5645305455350537	0.001697216534725852
UP000029738	0.6494828438122356	0.0031	0.5255974044636706	0.0034756643550880803
UP000002297	0.4451698264493073	0.0527	0.35688712648767756	0.04723232327101212
UP000033103	0.305638985323405	0.1873	0.24008770327352855	0.18193105879770577
UP000001235	0.6843655540937112	0.0015	0.5515528318445926	0.002165750834069888
UP000021053	0.7059596128393866	0.0005	0.5385751181541316	0.0027502594659716694
UP000037778	0.39865954607400655	0.0844	0.3049762717258335	0.08996194446901142
UP000007727	0.2740784379258795	0.236	0.21413227589260653	0.23383948251536324
UP000015854	0.45679739654313245	0.0398	0.35688712648767756	0.04723232327101212
UP000005766	0.7059596128393866	0.0009	0.5775082592255146	0.001323595035818648
UP000021369	0.43686441923943214	0.0562	0.3309316991067556	0.06578222379345955
UP000033104	0.4983244325925082	0.0247	0.3958202675590606	0.027759367380401325
UP000003900	0.6295498665085353	0.0052	0.4996419770827486	0.005471222878076791
UP000002301	0.6876877169776613	0.001	0.5515528318445926	0.002165750834069888
UP000015857	0.4352033377974571	0.0586	0.34390941279721654	0.05586877199716068
UP000010411	0.735859078794937	0.0001	0.5775082592255146	0.001323595035818648
UP000007730	0.7491477303307373	0.0004	0.5904859729159756	0.0010272058616155085
UP000000235	0.7109428571653116	0.0007	0.5385751181541316	0.0027502594659716694
UP000002318	0.6129390520887851	0.0042	0.4996419770827486	0.005471222878076791
UP000033121	0.6129390520887851	0.0041	0.48666426339228763	0.006815191665727726
UP000002332	0.7840304406122129	0.0	0.6423968276778197	0.00035483440653022067
UP000001258	0.5348682243159588	0.0182	0.42177569493998257	0.01902827218197893
UP000007742	0.7126039386072867	0.0006	0.5645305455350537	0.001697216534725852
UP000029829	0.666093658231986	0.0021	0.5255974044636706	0.0034756643550880803
