Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000009079	0.22803715655634435	0.3255	0.14867838833500563	0.41777146549266553
UP000002439	0.42413136511257815	0.0628	0.30443669992405914	0.09708102439615833
UP000001686	0.3753296390012983	0.1028	0.2902768534159634	0.11364917159765156
UP000000792	0.2129529866674033	0.3674	0.14867838833500563	0.41777146549266553
UP000002698	0.4915664775572559	0.0328	0.375235932464538	0.040852230902137875
UP000001059	0.22803715655634435	0.3268	0.16283823484310142	0.37482892738657947
UP000001974	0.20319264144514732	0.3917	0.13451854182690984	0.46348355902898386
UP000000242	0.31144374300107736	0.18	0.21947762087548453	0.23163894064770585
UP000005877	0.472045787112744	0.0393	0.375235932464538	0.040852230902137875
UP000007490	0.1056231120870713	0.6535	0.08680623146431428	0.6417524082876849
UP000009227	0.29558341147965694	0.2046	0.234254740499978	0.20271919321008403
UP000000554	0.5243967296684806	0.0201	0.41771547198882536	0.022813763166541073
UP000001068	0.22906214360656685	0.3216	0.17555232719239164	0.3511301292434149
UP000000578	0.12333527144487107	0.6004	0.07787915579452676	0.6712453237445672
UP000007722	0.12156066322264272	0.6101	0.06371930928643099	0.7283894809292426
UP000002457	0.47115848300162977	0.04	0.36107608595644225	0.049084627999561856
UP000000254	0.24312132644528545	0.29	0.16283823484310142	0.37482892738657947
UP000001975	0.47914422000165735	0.0303	0.375235932464538	0.040852230902137875
UP000001746	0.5199602091129097	0.0179	0.38939577897263383	0.03382115926994682
UP000000805	0.016858778111169426	0.9488	0.007079923254047887	0.9692209359827749
UP000006565	0.4010614582236095	0.0793	0.30443669992405914	0.09708102439615833
UP000001137	0.43477901444594835	0.0581	0.3185965464321549	0.08250313698371972
UP000000262	0.36379468555681393	0.1133	0.24779731389167603	0.17685908470615075
UP000000590	0.17479890988949354	0.4632	0.12035869531881409	0.5118550448357724
UP000000346	0.5288332502240515	0.0197	0.4035556254807296	0.027851745999554305
UP000005223	0.3620200773345856	0.1155	0.26195716039977185	0.15338971199909993
UP000001826	0.3921884171124677	0.0865	0.30443669992405914	0.09708102439615833
UP000007807	0.355766763731308	0.1243	0.285459524820367	0.12226774324533521
UP000006622	0.260867408667569	0.266	0.2053177743673887	0.2631500171621556
UP000000641	0.4152583240014365	0.0709	0.3185965464321549	0.08250313698371972
UP000011511	0.4502018092863641	0.0457	0.36299162240075283	0.04889834824871734
UP000002071	0.4436520555570902	0.0494	0.3469162394483465	0.058666403955703474
UP000000365	0.4072725870014087	0.0756	0.3185965464321549	0.08250313698371972
UP000001013	0.22005141955631674	0.3487	0.13451854182690984	0.46348355902898386
UP000000663	0.41437101989032227	0.0763	0.33275639294025067	0.06975255076758541
UP000002487	0.34161208277895944	0.1341	0.24779731389167603	0.17685908470615075
UP000000391	0.1543909153338674	0.5098	0.10619884881071831	0.5627368672147242
UP000001169	0.47648230766831484	0.0342	0.36107608595644225	0.049084627999561856
UP000000674	0.46583465833494475	0.0385	0.3469162394483465	0.058666403955703474
UP000006663	0.31526122676324675	0.1728	0.25112360116696136	0.17580693423474048
UP000001879	0.4383282308904051	0.0535	0.3469162394483465	0.058666403955703474
UP000002199	0.25820549633422646	0.2732	0.17699808135119718	0.33472755630039486
UP000002518	0.4862426528905709	0.0328	0.375235932464538	0.040852230902137875
UP000001015	0.21561489900074585	0.3587	0.13451854182690984	0.46348355902898386
UP000001304	0.25199436755642723	0.292	0.19115792785929295	0.29750161849756573
UP000000536	0.3105564388899631	0.1836	0.21947762087548453	0.23163894064770585
UP000006681	0.3550551489245128	0.1311	0.27684651149997397	0.13220832423128848
UP000001901	0.2475578470008563	0.2896	0.14867838833500563	0.41777146549266553
UP000000740	0.4915664775572559	0.029	0.375235932464538	0.040852230902137875
UP000002593	0.4401028391126335	0.0556	0.33275639294025067	0.06975255076758541
UP000008243	0.4915664775572559	0.0299	0.375235932464538	0.040852230902137875
UP000001018	0.24134671822305703	0.316	0.16283823484310142	0.37482892738657947
UP000002315	0.20230533733403314	0.3965	0.13451854182690984	0.46348355902898386
UP000001400	0.25820549633422646	0.2736	0.19115792785929295	0.29750161849756573
UP000002613	0.2253752442230018	0.3454	0.14867838833500563	0.41777146549266553
UP000002376	0.3087818306677348	0.188	0.23363746738358027	0.20290505181433538
UP000001931	0.18012273455617864	0.4467	0.13451854182690984	0.46348355902898386
UP000012076	0.18200189043326498	0.4402	0.13706715752743825	0.4620247493789953
UP000001024	0.31144374300107736	0.1807	0.21947762087548453	0.23163894064770585
UP000002654	0.4924537816683701	0.0265	0.36107608595644225	0.049084627999561856
UP000001488	0.3158802635566482	0.174	0.21947762087548453	0.23163894064770585
UP000012672	0.10153509978025806	0.6647	0.0795723788422881	0.6699906088097414
UP000006794	0.46406005011271634	0.0398	0.36107608595644225	0.049084627999561856
UP000002408	0.427680581557035	0.0603	0.33275639294025067	0.06975255076758541
UP000001941	0.45873622544603126	0.0401	0.33275639294025067	0.06975255076758541
UP000058290	0.20796882279552856	0.3754	0.17361246292862856	0.35247175001690867
UP000014070	0.011137454156968698	0.9634	0.02176142434634482	0.907435445000314
