Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000009079	0.4382213260984845	0.0516	0.30940359597824557	0.08053797661429841
UP000002439	0.6561476071852985	0.0022	0.5278061343158307	0.0028716423889113695
UP000001686	0.626143264137114	0.0039	0.5035391856116546	0.004453852750684496
UP000000792	0.4350629741986757	0.0567	0.3336705446824217	0.059478774522301374
UP000002698	0.5708721058904581	0.0107	0.46713876255539033	0.008327548827886333
UP000001059	0.4919133083952358	0.0264	0.37007096773868586	0.03659674048416698
UP000001974	0.5234968273933247	0.0188	0.40647139079495004	0.02168552743497293
UP000000242	0.5606074622160793	0.0105	0.43073833949912615	0.014978607223421026
UP000005877	0.7185250572065242	0.0003	0.588473506076271	0.0008879491825476532
UP000007490	0.3014062388442538	0.1952	0.23554825102280347	0.19064749242587953
UP000009227	0.45892317339821903	0.045	0.32846934087081536	0.0641422724829313
UP000000554	0.5890326293143594	0.0079	0.47927223690747844	0.006788914500003889
UP000001068	0.552702103420723	0.0128	0.4575566169040334	0.011753870464988558
UP000000578	0.4658569052218124	0.0411	0.3458040190345098	0.05079946220861599
UP000007722	0.40821698305029996	0.0776	0.2972701216261575	0.09314408815332566
UP000002457	0.6237745002122572	0.0034	0.5035391856116546	0.004453852750684496
UP000000254	0.5195488875185635	0.018	0.40647139079495004	0.02168552743497293
UP000001975	0.545605290691987	0.0135	0.43073833949912615	0.014978607223421026
UP000001746	0.545605290691987	0.0124	0.43073833949912615	0.014978607223421026
UP000000805	0.337943653279552	0.1518	0.24873622421780525	0.16004753453792242
UP000006565	0.6419350236361584	0.003	0.5035391856116546	0.004453852750684496
UP000001137	0.6782560704839607	0.0008	0.5399396086679187	0.002290804355673264
UP000000262	0.5977180970388338	0.0051	0.46713876255539033	0.008327548827886333
UP000000590	0.40268986722563443	0.0832	0.2972701216261575	0.09314408815332566
UP000000346	0.7880087990023199	0.0	0.6491408778367113	0.00024591512478917127
UP000005223	0.5527115824665569	0.0132	0.44287181385121427	0.012369353383379267
UP000001826	0.577188809690076	0.0082	0.4550052882033023	0.010171012842827596
UP000007807	0.5869313978095119	0.0076	0.4647557485792704	0.009115664926788771
UP000006622	0.5677137539906493	0.0105	0.43073833949912615	0.014978607223421026
UP000000641	0.679045658458913	0.001	0.5642065573720949	0.001438806102157265
UP000011511	0.5519423508832019	0.0114	0.44522128293151286	0.012292246417369245
UP000002071	0.4713840210464779	0.039	0.3579374933865978	0.04320712498384442
UP000000365	0.577188809690076	0.0063	0.46713876255539033	0.008327548827886333
UP000001013	0.45085473369772006	0.0493	0.32153707033033363	0.06935420875156614
UP000000663	0.5227072394183725	0.0232	0.394337916442862	0.025927294007980956
UP000002487	0.5606074622160793	0.0108	0.4550052882033023	0.010171012842827596
UP000000391	0.44690679382295895	0.0477	0.32153707033033363	0.06935420875156614
UP000001169	0.5527115824665569	0.0127	0.44287181385121427	0.012369353383379267
UP000000674	0.661674723009964	0.0013	0.5278061343158307	0.0028716423889113695
UP000006663	0.44396140261792405	0.0576	0.32585319728415457	0.06863747612578758
UP000001879	0.4919133083952358	0.0288	0.382204442090774	0.03086826562681344
UP000002199	0.5306031191678948	0.0182	0.40647139079495004	0.02168552743497293
UP000002518	0.7272105249309987	0.0004	0.588473506076271	0.0008879491825476532
UP000001015	0.48243825269580903	0.0362	0.37007096773868586	0.03659674048416698
UP000001304	0.5677137539906493	0.0094	0.4550052882033023	0.010171012842827596
UP000000536	0.5250760033432292	0.0186	0.40647139079495004	0.02168552743497293
UP000006681	0.6816707377670619	0.001	0.5474489014513589	0.0020333592192096324
UP000001901	0.5306031191678948	0.0186	0.40647139079495004	0.02168552743497293
UP000000740	0.5708721058904581	0.0109	0.46713876255539033	0.008327548827886333
UP000002593	0.6774664825090084	0.0016	0.5520730830200068	0.0018194775456729113
UP000008243	0.6024556248885471	0.006	0.4914057112595665	0.005510719164502473
UP000001018	0.5535011704415093	0.0122	0.43073833949912615	0.014978607223421026
UP000002315	0.40663780710039554	0.071	0.2972701216261575	0.09314408815332566
UP000001400	0.38058140392697215	0.1014	0.2730031729219814	0.12307936138250473
UP000002613	0.4579610254722901	0.0423	0.3458040190345098	0.05079946220861599
UP000002376	0.5787679856399804	0.0092	0.47927223690747844	0.006788914500003889
UP000001931	0.41611286279982224	0.0672	0.32153707033033363	0.06935420875156614
UP000012076	0.48033189290490347	0.0339	0.3523556924339375	0.050000564531812855
UP000001024	0.5574491103162704	0.0106	0.41860486514703815	0.018061076463070043
UP000002654	0.724841761006142	0.0004	0.588473506076271	0.0008879491825476532
UP000001488	0.5250760033432292	0.0208	0.40647139079495004	0.02168552743497293
UP000012672	0.4604850264895554	0.042	0.36571965290382646	0.04231794180102704
UP000006794	0.6450933755359674	0.0018	0.5278061343158307	0.0028716423889113695
UP000002408	0.5992972729887382	0.0051	0.4914057112595665	0.005510719164502473
UP000001941	0.6806248344088174	0.001	0.5520730830200068	0.0018194775456729113
UP000058290	0.32138843070828693	0.1687	0.25414416557723535	0.15826173446416036
UP000014070	0.46462391972002615	0.0393	0.3605127987128562	0.045840745291282806
