Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.6534886036549585	0.0019	0.510657483233948	0.004735797510882538
UP000001568	0.5392756316743849	0.0158	0.4230217115244236	0.01798034667816616
UP000002669	0.6274187512645518	0.004	0.4976726017934395	0.00537665795482125
UP000054321	0.6796138514914123	0.0012	0.5503440726016859	0.002179843020319285
UP000006882	0.28216407935682974	0.2216	0.19335764037932257	0.28054510806298183
UP000008311	0.5825458903822851	0.0087	0.4727889717037675	0.008184115466076137
UP000002753	0.4960053729664847	0.0262	0.39813808143475155	0.025957647953886567
UP000011116	0.7412035056445855	0.0004	0.6096489371969633	0.0006499716321836075
UP000011185	0.3109048218271342	0.1874	0.24883630089671974	0.16398963354899532
UP000001593	0.544083438197485	0.0136	0.4354635265692595	0.01486664190446209
UP000042958	0.7379983012958521	0.0002	0.5972071221521273	0.0008369781866714667
UP000000226	0.4222856729456179	0.0662	0.31104537612089966	0.08190775626120315
UP000002762	0.7668451404344523	0.0001	0.6220907522417993	0.0005024534873341827
UP000030752	0.53346964143834	0.0178	0.4614710853995584	0.010847844398727583
UP000017836	0.7115553654188022	0.001	0.5723234920624554	0.0013690904551360292
UP000006906	0.6811059241058354	0.0012	0.5474398619727834	0.0021992839056020363
UP000006911	0.6450473751825851	0.0029	0.5225562318831114	0.0034697301462219316
UP000002852	0.7796659578293856	0.0001	0.6594161973763073	0.0002258357170876215
UP000028524	0.6714903110596353	0.0017	0.5474398619727834	0.0021992839056020363
UP000007014	0.658669493664702	0.0024	0.5101144168382754	0.004328887766473539
UP000028545	0.28186189634421854	0.2289	0.2132986721229454	0.24746300529487564
UP000008333	0.3301360479195343	0.1504	0.24883630089671974	0.16398963354899532
UP000000267	0.39343883380701783	0.0855	0.2861617460312277	0.10947779856262443
UP000011712	0.7003371501982354	0.0008	0.5847653071072914	0.001072898828102335
UP000008370	0.6476948185236319	0.0022	0.5052248022814558	0.004808768155650495
UP000054361	0.8237375176244691	0.0	0.6842998274659793	0.00012950949083440763
UP000018087	0.3844700228336101	0.0936	0.2987395412562913	0.10053828935372519
UP000000304	0.6001745143003184	0.005	0.4852307867486035	0.006648276797610163
UP000011713	0.5448847392846683	0.016	0.4354635265692595	0.01486664190446209
UP000007015	0.6979332469366853	0.001	0.5598816770176194	0.0017391548821675741
UP000008524	0.7323891936855689	0.0005	0.5847653071072914	0.001072898828102335
UP000008536	0.4591455229560513	0.0415	0.36081263630024357	0.04358312790480267
