Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.5925029661460188	0.0069	0.45919744213387215	0.013339988250572848
UP000001568	0.442764751445976	0.0502	0.3469162394483465	0.058666403955703474
UP000002669	0.5882826256687015	0.0079	0.44603516500501694	0.015062171715097898
UP000054321	0.5381110383186127	0.0155	0.4056965191537825	0.02772327594648074
UP000006882	0.07456158127414768	0.7463	0.04969039949999533	0.7869994360662178
UP000008311	0.39839954589026705	0.0841	0.3185965464321549	0.08250313698371972
UP000002753	0.25909280044534067	0.2787	0.19115792785929295	0.29750161849756573
UP000011116	0.6308732230021822	0.0021	0.47435485802120847	0.009731621181569023
UP000011185	0.13753213722269794	0.5565	0.10619884881071831	0.5627368672147242
UP000001593	0.3354009540011602	0.1451	0.2761170069078676	0.13236754947199314
UP000042958	0.566100022890847	0.01	0.44603516500501694	0.015062171715097898
UP000000226	0.22803715655634435	0.3323	0.17699808135119718	0.33472755630039486
UP000002762	0.6335351353355247	0.0055	0.4885147045293043	0.007758719025079865
UP000030752	0.3834384516481214	0.0987	0.30216609311120096	0.10411853505531322
UP000017836	0.49600299811282683	0.0253	0.4035556254807296	0.027851745999554305
UP000006906	0.5199602091129097	0.0215	0.38939577897263383	0.03382115926994682
UP000006911	0.4853553487794567	0.029	0.36107608595644225	0.049084627999561856
UP000002852	0.6122398366687845	0.0048	0.5026745510374	0.006152073548568369
UP000028524	0.5306078584462799	0.0173	0.41771547198882536	0.022813763166541073
UP000007014	0.35225973211232964	0.1289	0.24779731389167603	0.17685908470615075
UP000028545	0.41124022273225747	0.0734	0.3163133139058686	0.09478310125738545
UP000008333	0.08961771522253222	0.7101	0.06371930928643099	0.7283894809292426
UP000000267	0.14729248244495394	0.5276	0.12035869531881409	0.5118550448357724
UP000011712	0.5581142858908195	0.0118	0.44603516500501694	0.015062171715097898
UP000008370	0.6257846999794537	0.0039	0.489805366499954	0.0077334908523774525
UP000054361	0.6361970476688673	0.0029	0.47435485802120847	0.009731621181569023
UP000018087	0.08817521823022409	0.7067	0.09404008408634047	0.6145110778016993
UP000000304	0.3930757212235819	0.0847	0.30443669992405914	0.09708102439615833
UP000011713	0.4046106746680663	0.0776	0.3185965464321549	0.08250313698371972
UP000007015	0.5545650694463627	0.0118	0.41771547198882536	0.022813763166541073
UP000008524	0.6086906202243277	0.0051	0.44603516500501694	0.015062171715097898
UP000008536	0.21561489900074585	0.3557	0.19115792785929295	0.29750161849756573
UP000054383	0.5740857598908747	0.0092	0.46019501151311265	0.012139895480833858
UP000028761	0.4951156940017126	0.0288	0.375235932464538	0.040852230902137875
UP000007062	0.5199602091129097	0.0241	0.38939577897263383	0.03382115926994682
UP000001595	0.47736961177942905	0.0315	0.36107608595644225	0.049084627999561856
UP000000305	0.46317274600160213	0.0414	0.375235932464538	0.040852230902137875
UP000004994	0.4436520555570902	0.0495	0.3469162394483465	0.058666403955703474
UP000053732	0.6920972066690606	0.0009	0.5734737835778789	0.001775525119829856
UP000001610	0.6450700887800092	0.0025	0.5026745510374	0.006152073548568369
UP000018468	0.23779750177860035	0.3094	0.19115792785929295	0.29750161849756573
UP000008549	0.36823120611238486	0.1077	0.2902768534159634	0.11364917159765156
UP000008553	-0.0035492164444567214	0.9891	-0.007079923254047887	0.9692209359827749
UP000001611	0.6876606861134898	0.0009	0.5451540905616873	0.0029675789563641318
UP000007110	0.5075379515573112	0.0246	0.38939577897263383	0.03382115926994682
UP000000311	0.3664565978901565	0.1107	0.30443669992405914	0.09708102439615833
UP000008672	0.3708931184457274	0.107	0.3185965464321549	0.08250313698371972
UP000001628	0.5891699297798157	0.0061	0.46019501151311265	0.012139895480833858
UP000000314	0.24578323877862795	0.297	0.2053177743673887	0.2631500171621556
UP000030816	0.5652127187797329	0.0083	0.44603516500501694	0.015062171715097898
UP000008673	0.3939630253346961	0.0866	0.3185965464321549	0.08250313698371972
UP000007115	0.5980429708909576	0.0065	0.46019501151311265	0.012139895480833858
UP000001631	0.5279459461129373	0.0183	0.41771547198882536	0.022813763166541073
UP000001640	0.2129529866674033	0.3554	0.14867838833500563	0.41777146549266553
UP000005203	0.4401028391126335	0.0503	0.3469162394483465	0.058666403955703474
UP000007129	0.6743511244467771	0.0023	0.5026745510374	0.006152073548568369
UP000001645	0.5341570748907365	0.0179	0.4318753184969211	0.018587109800644232
UP000018817	0.47648230766831484	0.0314	0.375235932464538	0.040852230902137875
UP000005204	0.4835807405572283	0.0321	0.36107608595644225	0.049084627999561856
UP000008694	0.4853553487794567	0.0322	0.38939577897263383	0.03382115926994682
UP000001646	0.472045787112744	0.0372	0.375235932464538	0.040852230902137875
UP000001744	0.45252509666823204	0.0506	0.36107608595644225	0.049084627999561856
UP000018888	0.055012854889079185	0.814	0.03539961627023944	0.8470161061368775
UP000007241	0.5128617762239963	0.0223	0.36107608595644225	0.049084627999561856
UP000008698	0.5474666365574493	0.0112	0.41771547198882536	0.022813763166541073
UP000001745	0.5865080174464733	0.0064	0.46019501151311265	0.012139895480833858
UP000007258	0.5403682036685359	0.0151	0.41771547198882536	0.022813763166541073
UP000001798	0.4924537816683701	0.0289	0.38939577897263383	0.03382115926994682
UP000005206	0.47115848300162977	0.0355	0.36107608595644225	0.049084627999561856
UP000000437	0.5004395186683978	0.0289	0.38939577897263383	0.03382115926994682
UP000008743	0.6051529251058326	0.0053	0.4839888298676704	0.008640262216884291
UP000031513	0.07985737000027623	0.733	0.06371930928643099	0.7283894809292426
UP000001805	0.5501285488907918	0.015	0.41771547198882536	0.022813763166541073
UP000054549	0.6086906202243277	0.0048	0.47435485802120847	0.009731621181569023
UP000008744	0.4445393596682044	0.0481	0.36107608595644225	0.049084627999561856
UP000008782	0.5731984557797605	0.0072	0.4318753184969211	0.018587109800644232
UP000028999	0.3708931184457274	0.1047	0.2902768534159634	0.11364917159765156
UP000005207	0.5554523735574769	0.013	0.4318753184969211	0.018587109800644232
UP000007266	0.32652791289001837	0.1597	0.24779731389167603	0.17685908470615075
UP000008783	0.585620713335359	0.0089	0.46019501151311265	0.012139895480833858
UP000001811	0.5474666365574493	0.013	0.41771547198882536	0.022813763166541073
UP000029120	0.5718029303414532	0.0083	0.4846681256757548	0.009439644654305626
UP000008784	0.5678746311130755	0.0102	0.44603516500501694	0.015062171715097898
UP000005215	0.5075379515573112	0.0236	0.4035556254807296	0.027851745999554305
UP000007267	0.5465793324463352	0.0151	0.4318753184969211	0.018587109800644232
UP000001819	0.4516377925571178	0.0468	0.3469162394483465	0.058666403955703474
UP000008792	0.42413136511257815	0.0615	0.33275639294025067	0.06975255076758541
UP000005221	0.3966249376680386	0.0828	0.3185965464321549	0.08250313698371972
UP000001861	0.5776349763353315	0.0085	0.44603516500501694	0.015062171715097898
UP000053841	0.531495162557394	0.0168	0.4318753184969211	0.018587109800644232
UP000011750	0.40372337055695207	0.0797	0.33275639294025067	0.06975255076758541
UP000007303	0.5430301160018784	0.0151	0.4318753184969211	0.018587109800644232
