Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.7353753819999289	0.0003	0.5863104437130514	0.0011831265466293863
UP000001568	0.6754968164955519	0.0014	0.5349980469279475	0.0027686343208304823
UP000002669	0.6819072251930186	0.001	0.5474398619727834	0.0021992839056020363
UP000054321	0.79548901555101	0.0	0.6441527213406096	0.0003345837784291973
UP000006882	0.4048092615772699	0.0781	0.3056298186640905	0.08807004971287478
UP000008311	0.6915228382392187	0.0009	0.5598816770176194	0.0017391548821675741
UP000002753	0.5368717284128349	0.0165	0.4230217115244236	0.01798034667816616
UP000011116	0.7820698610909356	0.0	0.6469743823314713	0.00029617495091837916
UP000011185	0.5016144805767682	0.0282	0.39813808143475155	0.025957647953886567
UP000001593	0.6530603860544185	0.0024	0.5349980469279475	0.0027686343208304823
UP000042958	0.8197310121885524	0.0	0.6594161973763073	0.0002258357170876215
UP000000226	0.558506857766785	0.0109	0.4354635265692595	0.01486664190446209
UP000002762	0.8077114958808023	0.0	0.6718580124211433	0.00017141338512401062
UP000030752	0.7178541033511396	0.0005	0.6068660849090083	0.0008074766963888569
UP000017836	0.7796659578293856	0.0001	0.6345325672866353	0.0003866472954023473
UP000006906	0.7355943980343022	0.0006	0.5972071221521273	0.0008369781866714667
UP000006911	0.7812685600037522	0.0	0.6469743823314713	0.00029617495091837916
UP000002852	0.8341544317578524	0.0	0.7091834575556514	7.291519225538863e-05
UP000028524	0.7804672589165691	0.0001	0.6469743823314713	0.00029617495091837916
UP000007014	0.6450473751825851	0.0025	0.4976726017934395	0.00537665795482125
UP000028545	0.4600921655633095	0.0418	0.3554977868715757	0.053910397046930195
UP000008333	0.5072235881870515	0.024	0.39813808143475155	0.025957647953886567
UP000000267	0.5160379001460681	0.0198	0.3856962663899156	0.030985730925731512
UP000011712	0.8229362165372857	0.0	0.6967416425108153	9.740030094239352e-05
UP000008370	0.6204403335857563	0.0042	0.48027542932928513	0.007354867701951124
UP000054361	0.8509817545887025	0.0	0.7216252726004871	5.43340482915837e-05
UP000018087	0.46651174318722566	0.0397	0.3623011457789065	0.04640789258858039
UP000000304	0.7363956991214854	0.0005	0.6096489371969633	0.0006499716321836075
UP000011713	0.694728042587952	0.0006	0.5723234920624554	0.0013690904551360292
UP000007015	0.806910194793619	0.0	0.6594161973763073	0.0002258357170876215
UP000008524	0.8413661415425024	0.0	0.6967416425108153	9.740030094239352e-05
UP000008536	0.5817445892951016	0.0074	0.4727889717037675	0.008184115466076137
UP000054383	0.8333531306706691	0.0	0.7091834575556514	7.291519225538863e-05
UP000028761	0.8109167002295358	0.0001	0.6967416425108153	9.740030094239352e-05
UP000007062	0.7740568502191023	0.0	0.6345325672866353	0.0003866472954023473
UP000001595	0.8021023882705189	0.0	0.6842998274659793	0.00012950949083440763
UP000000305	0.7916854741371356	0.0004	0.6718580124211433	0.00017141338512401062
UP000004994	0.7219722795521855	0.0005	0.5847653071072914	0.001072898828102335
UP000053732	0.7428061078189522	0.0002	0.5847653071072914	0.001072898828102335
UP000001610	0.8509817545887025	0.0	0.7216252726004871	5.43340482915837e-05
UP000018468	0.3685985001043344	0.1118	0.2737199309863917	0.12578031657145244
UP000008549	0.7299852904240188	0.0004	0.6096489371969633	0.0006499716321836075
UP000008553	0.34936727401193435	0.136	0.24883630089671974	0.16398963354899532
UP000001611	0.7820698610909356	0.0	0.6345325672866353	0.0003866472954023473
UP000007110	0.761236032824169	0.0001	0.6220907522417993	0.0005024534873341827
UP000000311	0.6963306447623187	0.0011	0.5723234920624554	0.0013690904551360292
UP000008672	0.47356894252535137	0.0345	0.3732544513450796	0.036827883432737234
UP000001628	0.8501804535015192	0.0	0.7216252726004871	5.43340482915837e-05
UP000000314	0.5953667077772183	0.0076	0.4727889717037675	0.008184115466076137
UP000030816	0.809314098055169	0.0	0.6842998274659793	0.00012950949083440763
UP000008673	0.6738942143211853	0.0018	0.5598816770176194	0.0017391548821675741
UP000007115	0.7892815708755856	0.0001	0.6469743823314713	0.00029617495091837916
UP000001631	0.8013010871833357	0.0	0.6718580124211433	0.00017141338512401062
UP000001640	0.4815819533971847	0.0324	0.36081263630024357	0.04358312790480267
UP000005203	0.7844737643524856	0.0002	0.6594161973763073	0.0002258357170876215
UP000007129	0.8573921632861691	0.0	0.7216252726004871	5.43340482915837e-05
UP000001645	0.7668451404344523	0.0001	0.6469743823314713	0.00029617495091837916
UP000018817	0.5240509110179015	0.0169	0.4354635265692595	0.01486664190446209
UP000005204	0.7484152154292355	0.0002	0.5972071221521273	0.0008369781866714667
UP000008694	0.7035423545469687	0.0003	0.5598816770176194	0.0017391548821675741
UP000001646	0.658669493664702	0.0021	0.5225562318831114	0.0034697301462219316
UP000001744	0.7628386349985355	0.0	0.6469743823314713	0.00029617495091837916
UP000018888	0.39023362945828455	0.0878	0.2986035610760637	0.09489293336525881
UP000007241	0.7227735806393688	0.0004	0.5847653071072914	0.001072898828102335
UP000008698	0.7660438393472688	0.0	0.6220907522417993	0.0005024534873341827
UP000001745	0.851783055675886	0.0001	0.7091834575556514	7.291519225538863e-05
UP000007258	0.8149232056654523	0.0	0.6718580124211433	0.00017141338512401062
UP000001798	0.7460113121676856	0.0003	0.6096489371969633	0.0006499716321836075
UP000005206	0.7524217208651522	0.0004	0.6220907522417993	0.0005024534873341827
UP000000437	0.8077114958808023	0.0	0.6842998274659793	0.00012950949083440763
UP000008743	0.749780473326809	0.0002	0.6253909915928249	0.0004968217902827776
UP000031513	0.446324705561118	0.048	0.33592900621057165	0.060258107650989434
UP000001805	0.799698485008969	0.0001	0.6594161973763073	0.0002258357170876215
UP000054549	0.8325518295834858	0.0001	0.6967416425108153	9.740030094239352e-05
UP000008744	0.7548256241267022	0.0001	0.6345325672866353	0.0003866472954023473
UP000008782	0.7508191186907854	0.0	0.6096489371969633	0.0006499716321836075
UP000028999	0.5969693099515851	0.0058	0.46034715665893156	0.010030116615475903
UP000005207	0.8165258078398191	0.0001	0.6967416425108153	9.740030094239352e-05
UP000007266	0.568122470812985	0.0108	0.4354635265692595	0.01486664190446209
UP000008783	0.8125193024039024	0.0	0.6718580124211433	0.00017141338512401062
UP000001811	0.8381609371937692	0.0	0.7216252726004871	5.43340482915837e-05
UP000029120	0.6663878952252008	0.0016	0.540273638442229	0.00297774686137365
UP000008784	0.7964932806602357	0.0	0.6842998274659793	0.00012950949083440763
UP000005215	0.7644412371729022	0.0001	0.6345325672866353	0.0003866472954023473
UP000007267	0.8317505284963024	0.0001	0.6967416425108153	9.740030094239352e-05
UP000001819	0.768447742608819	0.0001	0.6469743823314713	0.00029617495091837916
UP000008792	0.7339917958599356	0.0002	0.6096489371969633	0.0006499716321836075
UP000005221	0.7339917958599356	0.0009	0.6096489371969633	0.0006499716321836075
UP000001861	0.806910194793619	0.0	0.6718580124211433	0.00017141338512401062
UP000053841	0.6498551817056852	0.0028	0.5101144168382754	0.004328887766473539
UP000011750	0.658669493664702	0.002	0.5474398619727834	0.0021992839056020363
UP000007303	0.8013010871833357	0.0001	0.6594161973763073	0.0002258357170876215
UP000005222	0.3429568653144677	0.1373	0.2737199309863917	0.12578031657145244
UP000001876	0.7492165165164189	0.0003	0.5723234920624554	0.0013690904551360292
UP000007304	0.7323891936855689	0.0002	0.6096489371969633	0.0006499716321836075
UP000001881	0.7452100110805022	0.0005	0.6096489371969633	0.0006499716321836075
UP000008810	0.8149232056654523	0.0	0.6842998274659793	0.00012950949083440763
UP000001926	0.5553016534180516	0.012	0.41057989647958754	0.021651095829419594
UP000005225	0.7211709784650021	0.0003	0.6096489371969633	0.0006499716321836075
UP000008820	0.6939267415007687	0.0009	0.5598816770176194	0.0017391548821675741
UP000053097	0.4238030660522956	0.0627	0.34768369447911934	0.05493419317586986
UP000001940	0.7307865915112021	0.0003	0.5972071221521273	0.0008369781866714667
UP000007305	0.8269427219732024	0.0	0.6718580124211433	0.00017141338512401062
UP000001949	0.6578681925775186	0.0028	0.5474398619727834	0.0021992839056020363
UP000011976	0.8581934643733525	0.0	0.7091834575556514	7.291519225538863e-05
UP000001950	0.5601094599411517	0.0122	0.4479053416140955	0.01223820301416042
UP000005226	0.8277440230603856	0.0	0.6967416425108153	9.740030094239352e-05
UP000012073	0.38546014730611744	0.0934	0.3072598559242621	0.08779444522760256
UP000001996	0.5673211697258017	0.0087	0.46034715665893156	0.010030116615475903
UP000053927	0.7219722795521855	0.0007	0.5847653071072914	0.001072898828102335
UP000007322	0.8229362165372857	0.0001	0.6842998274659793	0.00012950949083440763
UP000005237	0.7532230219523355	0.0001	0.5723234920624554	0.0013690904551360292
UP000001997	0.6626759991006187	0.002	0.5349980469279475	0.0027686343208304823
UP000019116	0.7291839893368354	0.0006	0.5972071221521273	0.0008369781866714667
UP000008827	0.7700503447831856	0.0	0.6220907522417993	0.0005024534873341827
UP000002009	0.706747558895702	0.0006	0.5474398619727834	0.0021992839056020363
UP000008837	0.8085127969679857	0.0	0.6842998274659793	0.00012950949083440763
UP000054771	0.8365583350194025	0.0	0.6967416425108153	9.740030094239352e-05
UP000002035	0.7323891936855689	0.0001	0.5972071221521273	0.0008369781866714667
UP000007431	0.8437700448040525	0.0	0.6967416425108153	9.740030094239352e-05
UP000002036	0.7219722795521855	0.0003	0.6096489371969633	0.0006499716321836075
UP000012960	0.6532712013933342	0.0017	0.5084928361809213	0.0052014423013517054
UP000008854	0.5921615034284851	0.0089	0.4852307867486035	0.006648276797610163
UP000005239	0.5262131219845305	0.0198	0.4327892114505485	0.020018729199123134
UP000002037	0.4944027707921181	0.0291	0.3856962663899156	0.030985730925731512
UP000008864	0.8421674426296857	0.0001	0.6842998274659793	0.00012950949083440763
UP000002038	0.8357570339322191	0.0	0.6967416425108153	9.740030094239352e-05
UP000008866	0.7123566665059853	0.0008	0.5723234920624554	0.0013690904551360292
UP000029665	0.45433771643295134	0.0465	0.3732544513450796	0.036827883432737234
UP000019376	0.8742194861170193	0.0001	0.7465089026901592	2.97549159205591e-05
UP000029964	0.6410408697466685	0.0024	0.4976726017934395	0.00537665795482125
UP000013827	0.7171644730290854	0.0007	0.5723234920624554	0.0013690904551360292
UP000014064	0.6121940306080684	0.0053	0.4852307867486035	0.006648276797610163
UP000005408	0.6819072251930186	0.0012	0.5349980469279475	0.0027686343208304823
UP000005426	0.814121904578269	0.0001	0.6718580124211433	0.00017141338512401062
UP000002051	0.7227735806393688	0.0005	0.6096489371969633	0.0006499716321836075
UP000002058	0.863802571983636	0.0	0.7340670876453232	4.0301369492332814e-05
UP000029965	0.6097901273465184	0.0057	0.4976726017934395	0.00537665795482125
UP000008912	0.8445713458912358	0.0	0.7216252726004871	5.43340482915837e-05
UP000014480	0.818929711101369	0.0001	0.6842998274659793	0.00012950949083440763
UP000008984	0.7692490436960022	0.0001	0.6220907522417993	0.0005024534873341827
UP000005447	0.8317505284963024	0.0001	0.7091834575556514	7.291519225538863e-05
UP000053257	0.6335043571424374	0.0034	0.5128206131061165	0.0042952809335322865
UP000002059	0.8301479263219357	0.0	0.6842998274659793	0.00012950949083440763
UP000009022	0.6811059241058354	0.0014	0.5474398619727834	0.0021992839056020363
UP000007646	0.6162005360439852	0.0045	0.4976726017934395	0.00537665795482125
UP000054928	0.6690864077980853	0.002	0.5474398619727834	0.0021992839056020363
UP000029981	0.5016901940956563	0.0262	0.38879537799959907	0.032977076423118916
UP000009046	0.46395332947915136	0.0372	0.34837082125540764	0.051356455635718376
UP000002149	0.806910194793619	0.0	0.6718580124211433	0.00017141338512401062
UP000000539	0.7940893773986857	0.0	0.6718580124211433	0.00017141338512401062
UP000002173	0.7452100110805022	0.0002	0.6220907522417993	0.0005024534873341827
UP000009058	0.8277440230603856	0.0	0.6842998274659793	0.00012950949083440763
UP000009082	0.32372563922206765	0.1587	0.23639448585188375	0.18610518937779352
UP000019804	0.863802571983636	0.0001	0.7216252726004871	5.43340482915837e-05
UP000002195	0.3910349305454678	0.0884	0.2986035610760637	0.09489293336525881
UP000053268	0.5813491022199065	0.0081	0.46527971465525797	0.010715467729089666
UP000007648	0.6314252567004686	0.0039	0.4976726017934395	0.00537665795482125
UP000009096	0.8213336143629191	0.0	0.6718580124211433	0.00017141338512401062
UP000007703	0.687516332803302	0.0013	0.5723234920624554	0.0013690904551360292
UP000005640	0.856590862198986	0.0	0.7216252726004871	5.43340482915837e-05
UP000054988	0.32374306316010054	0.1586	0.27331489944724524	0.1329722427732317
UP000002226	0.8405648404553192	0.0001	0.6842998274659793	0.00012950949083440763
UP000009097	0.7988971839217857	0.0	0.6594161973763073	0.0002258357170876215
UP000002258	0.6386369664851186	0.0029	0.5101144168382754	0.004328887766473539
UP000030143	0.7772620545678356	0.0001	0.6469743823314713	0.00029617495091837916
UP000007754	0.7147605697675354	0.0004	0.5847653071072914	0.001072898828102335
UP000015101	0.4538778052438223	0.0457	0.36272677512383844	0.04340110814660489
UP000055045	0.8327775631549637	0.0	0.7066918204998921	8.313282231022008e-05
UP000015102	0.42291482686064236	0.0642	0.3451342449813167	0.05877259453336461
UP000007796	0.775659452393469	0.0	0.6345325672866353	0.0003866472954023473
UP000054166	0.6202067526167513	0.0051	0.5084928361809213	0.005151788014178813
UP000015103	0.3998492425044845	0.0856	0.34837082125540764	0.051356455635718376
UP000053317	0.5897576001669351	0.0074	0.46034715665893156	0.010030116615475903
UP000000542	0.8077114958808023	0.0	0.6594161973763073	0.0002258357170876215
UP000000559	0.5569042555924182	0.0108	0.4354635265692595	0.01486664190446209
UP000009136	0.8221349154501025	0.0	0.6967416425108153	9.740030094239352e-05
UP000002277	0.8726168839426526	0.0	0.7465089026901592	2.97549159205591e-05
UP000007797	0.3731877235664291	0.0994	0.28446847730109764	0.11631855056743758
UP000007798	0.6931254404135854	0.001	0.5723234920624554	0.0013690904551360292
UP000030651	0.7620373339113522	0.0001	0.6220907522417993	0.0005024534873341827
UP000000560	0.8573921632861691	0.0	0.7216252726004871	5.43340482915837e-05
UP000024404	0.6194057403927185	0.0045	0.4976726017934395	0.00537665795482125
UP000059680	0.8277440230603856	0.0001	0.6842998274659793	0.00012950949083440763
UP000024533	0.8077114958808023	0.0001	0.6469743823314713	0.00029617495091837916
UP000006319	0.24637019423756573	0.288	0.19491073874579457	0.2799185875235649
UP000009138	0.6474512784441353	0.0025	0.5349980469279475	0.0027686343208304823
UP000000561	0.8293466252347523	0.0	0.6967416425108153	9.740030094239352e-05
UP000002279	0.8461739480656024	0.0	0.6967416425108153	9.740030094239352e-05
UP000033540	0.8493791524143357	0.0	0.7091834575556514	7.291519225538863e-05
UP000054270	0.514200799313269	0.0218	0.4034824558885515	0.025635799485012073
UP000002280	0.8373596361065858	0.0	0.7216252726004871	5.43340482915837e-05
UP000034112	0.7404022045574021	0.0003	0.5847653071072914	0.001072898828102335
UP000009168	0.4751715446997181	0.0333	0.3856962663899156	0.030985730925731512
UP000015106	0.6418478361451343	0.0025	0.5295707233537238	0.0033995995390480793
UP000053475	0.8493791524143357	0.0	0.6967416425108153	9.740030094239352e-05
UP000030669	0.6330278588748351	0.0035	0.5101144168382754	0.004328887766473539
UP000009170	0.7980958828346024	0.0001	0.6469743823314713	0.00029617495091837916
UP000054279	0.45777536289469234	0.0407	0.35935156227574117	0.04677563512172748
UP000007801	0.7620373339113522	0.0003	0.6469743823314713	0.00029617495091837916
UP000015241	0.5098191888379083	0.02	0.4241393401869012	0.017930586073850865
UP000054289	0.3573802848837677	0.1167	0.2612781159415557	0.14391477895283958
UP000030671	0.7227735806393688	0.0005	0.6220907522417993	0.0005024534873341827
UP000070412	0.42484932403159015	0.0642	0.3305791916162612	0.06505130134886682
UP000015441	0.6477778555671643	0.003	0.5250450160772532	0.0044664740292449275
UP000006548	0.7780633556550188	0.0	0.6469743823314713	0.00029617495091837916
UP000007819	0.4759728457869014	0.037	0.39813808143475155	0.025957647953886567
UP000026915	0.6202070414799019	0.0048	0.5101144168382754	0.004328887766473539
UP000002281	0.7956919795730524	0.0	0.6718580124211433	0.00017141338512401062
UP000007875	0.7187670752034521	0.0005	0.5847653071072914	0.001072898828102335
UP000030673	0.2203577989754173	0.3555	0.14930178053803184	0.403680097899055
UP000006564	0.8285453241475691	0.0001	0.6967416425108153	9.740030094239352e-05
UP000030680	0.5032994649668533	0.0242	0.4142901568848187	0.023075078891219375
UP000015530	0.6735588924650003	0.002	0.5595824434959907	0.0019142196111038082
UP000009183	0.7788646567422023	0.0001	0.6220907522417993	0.0005024534873341827
UP000007879	0.7083501610700688	0.001	0.5847653071072914	0.001072898828102335
UP000034841	0.41166136013955335	0.075	0.3178080226130759	0.08073645661764023
UP000002296	0.8269427219732024	0.0	0.6718580124211433	0.00017141338512401062
UP000007963	0.8293466252347523	0.0	0.6967416425108153	9.740030094239352e-05
UP000009192	0.6931254404135854	0.0011	0.5723234920624554	0.0013690904551360292
UP000002311	0.5785393849463684	0.0086	0.4479053416140955	0.01223820301416042
UP000009297	0.8293466252347523	0.0	0.6967416425108153	9.740030094239352e-05
UP000030686	0.8293466252347523	0.0	0.6967416425108153	9.740030094239352e-05
UP000007978	0.806910194793619	0.0001	0.6718580124211433	0.00017141338512401062
UP000009328	0.5641159653770683	0.0105	0.41057989647958754	0.021651095829419594
UP000070700	0.7428061078189522	0.0003	0.6096489371969633	0.0006499716321836075
UP000016666	0.37794753637324635	0.1048	0.29400324572482534	0.10728789668758375
UP000006591	0.7660438393472688	0.0002	0.6220907522417993	0.0005024534873341827
UP000002320	0.7195683762906355	0.0004	0.5972071221521273	0.0008369781866714667
UP000009882	0.565718567551435	0.012	0.4479053416140955	0.01223820301416042
UP000006643	0.7043436556341521	0.0008	0.5723234920624554	0.0013690904551360292
UP000016800	0.8213336143629191	0.0	0.6718580124211433	0.00017141338512401062
UP000006671	0.49199886753056804	0.0291	0.39813808143475155	0.025957647953886567
UP000016801	0.7964932806602357	0.0	0.6594161973763073	0.0002258357170876215
UP000010552	0.7027410534597854	0.0013	0.5598816770176194	0.0017391548821675741
UP000008022	0.7018910249947854	0.0003	0.5623328628695833	0.0022355871718362594
UP000006672	0.6466499773569518	0.0018	0.5225562318831114	0.0034697301462219316
UP000002356	0.8373596361065858	0.0	0.7216252726004871	5.43340482915837e-05
UP000016922	0.8253401197988358	0.0	0.6967416425108153	9.740030094239352e-05
UP000006701	0.8493791524143357	0.0001	0.7091834575556514	7.291519225538863e-05
UP000008062	0.8061088937064357	0.0002	0.6718580124211433	0.00017141338512401062
UP000002358	0.709151462157252	0.0004	0.5598816770176194	0.0017391548821675741
UP000011064	0.4976079751408515	0.0255	0.39813808143475155	0.025957647953886567
UP000006702	0.8213336143629191	0.0	0.6842998274659793	0.00012950949083440763
UP000002428	0.5553016534180516	0.0142	0.4354635265692595	0.01486664190446209
UP000027120	0.6250148480030018	0.0041	0.4852307867486035	0.006648276797610163
UP000016927	0.4022531457660345	0.0786	0.31104537612089966	0.08190775626120315
UP000006706	0.8004997860961522	0.0001	0.6594161973763073	0.0002258357170876215
UP000002485	0.6787020208442853	0.0016	0.5474398619727834	0.0021992839056020363
UP000008066	0.8213336143629191	0.0	0.6842998274659793	0.00012950949083440763
UP000070720	0.7932880763115022	0.0001	0.6594161973763073	0.0002258357170876215
UP000002489	0.7508191186907854	0.0004	0.6220907522417993	0.0005024534873341827
UP000011083	0.6692030522961581	0.0016	0.5212051570854445	0.004167440817976331
UP000006718	0.851783055675886	0.0	0.7340670876453232	4.0301369492332814e-05
UP000008141	0.7783258000534181	0.0001	0.6367457506991202	0.0004285018607656456
UP000006726	0.5016144805767682	0.0308	0.39813808143475155	0.025957647953886567
UP000027195	0.874949126755624	0.0	0.742243845327077	3.437880468790857e-05
UP000030745	0.6017771164746851	0.0045	0.46034715665893156	0.010030116615475903
UP000008142	0.7572295273882522	0.0001	0.6220907522417993	0.0005024534873341827
UP000016930	0.826141420886019	0.0	0.6967416425108153	9.740030094239352e-05
UP000002494	0.8221349154501025	0.0001	0.6967416425108153	9.740030094239352e-05
UP000079169	0.7235748817265523	0.0002	0.5972071221521273	0.0008369781866714667
UP000027222	0.3966440381557511	0.0837	0.31104537612089966	0.08190775626120315
UP000002497	0.7908841730499524	0.0001	0.6594161973763073	0.0002258357170876215
UP000006727	0.7748581513062855	0.0	0.6345325672866353	0.0003866472954023473
UP000016932	0.761236032824169	0.0001	0.6220907522417993	0.0005024534873341827
UP000008143	0.7884802697884022	0.0002	0.6718580124211433	0.00017141338512401062
UP000000589	0.856590862198986	0.0	0.7216252726004871	5.43340482915837e-05
UP000002499	0.7836724632653024	0.0001	0.6469743823314713	0.00029617495091837916
UP000008144	0.6378356653979352	0.0033	0.5101144168382754	0.004328887766473539
UP000002530	0.8630012708964525	0.0	0.7216252726004871	5.43340482915837e-05
UP000016933	0.8213336143629191	0.0	0.6842998274659793	0.00012950949083440763
UP000037904	0.8541869589374358	0.0	0.7091834575556514	7.291519225538863e-05
UP000011115	0.7379983012958521	0.0002	0.5972071221521273	0.0008369781866714667
UP000074855	0.22756950876006732	0.3323	0.14930178053803184	0.403680097899055
UP000002624	0.8029036893577024	0.0	0.6718580124211433	0.00017141338512401062
UP000006729	0.7307865915112021	0.0004	0.5723234920624554	0.0013690904551360292
UP000008153	0.8493791524143357	0.0	0.7091834575556514	7.291519225538863e-05
