Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000002583	0.3495575724886035	0.133	0.26567288975344794	0.12789935600239077
UP000009210	0.4080772553829009	0.0766	0.3129036257096165	0.07295794163958394
UP000007611	0.46971798803156095	0.0385	0.3365189936877008	0.05380271541812485
UP000000216	0.4018351558741759	0.076	0.26567288975344794	0.12789935600239077
UP000129190	0.6967743576614351	0.001	0.5608649894795013	0.0013088331223622238
UP000201138	0.4868837616805548	0.0299	0.3719420456548272	0.033055110194490867
UP000201614	0.5163361346495627	0.0212	0.40466872010114174	0.021238445256634726
UP000007616	0.5446231821362617	0.0135	0.41917278161099564	0.0163026362139107
UP000001265	0.37686675783927565	0.0999	0.2774805737424901	0.11181182267600713
UP000201139	0.4324279884613496	0.0583	0.34332752110478837	0.04962914338734441
UP000129308	0.5532060689607586	0.0112	0.43098046560003783	0.013521399074279974
UP000154329	0.7155006561876104	0.0008	0.5608649894795013	0.0013088331223622238
UP000024438	0.4174404046459885	0.0669	0.3129036257096165	0.07295794163958394
UP000202084	0.6421559869600907	0.0029	0.5254419375123749	0.0026035099422681406
UP000201615	0.4251726968024155	0.0669	0.3264339282042847	0.06253932291572549
UP000201141	0.5914389284516997	0.0064	0.4664035175671642	0.007523799368385053
UP000000227	0.5383810826275366	0.0164	0.40736509762195355	0.019574524422054977
UP000102095	0.5594481684694838	0.0118	0.43098046560003783	0.013521399074279974
UP000129376	0.47596008754028596	0.0387	0.3837497296438693	0.02787243425206048
UP000007621	0.4065167305057197	0.0798	0.30109594172057436	0.0844500458309217
UP000201142	0.5508652816449867	0.0112	0.41917278161099564	0.0163026362139107
UP000201616	0.45255221438256704	0.0474	0.3129036257096165	0.07295794163958394
UP000002584	0.31678655006779693	0.1697	0.2420575217753637	0.16540815411338483
UP000102185	0.4104180426986728	0.0741	0.32471130969865863	0.06277841264624691
UP000009212	0.3355128485939721	0.1493	0.2420575217753637	0.16540815411338483
UP000001284	0.5594481684694838	0.0123	0.44278814958907997	0.011168030416795288
UP000154424	0.5883178786973372	0.0075	0.43098046560003783	0.013521399074279974
UP000007626	0.42368250415471365	0.0646	0.3365189936877008	0.05380271541812485
UP000009213	0.32380891201511264	0.1705	0.2420575217753637	0.16540815411338483
UP000007627	0.4939061236278705	0.0255	0.36013436166578505	0.039041486551257984
UP000129398	0.5407218699433085	0.016	0.44278814958907997	0.011168030416795288
UP000201617	0.7919663751694923	0.0	0.6671341453808805	0.00013183183592719493
UP000202086	0.3776470202778663	0.1013	0.19482678581919516	0.26422760495565967
UP000201144	0.422280761295289	0.0667	0.3255692010476442	0.06265885511231847
UP000007629	0.7513927283627794	0.0001	0.6199034094247119	0.0003817987150586074
UP000129482	0.3815483324708195	0.0978	0.26567288975344794	0.12789935600239077
UP000102219	0.27621290326108405	0.234	0.23024983778632158	0.1870199472661891
UP000154509	0.4018351558741759	0.0834	0.3129036257096165	0.07295794163958394
