Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000009079	0.4970122028757556	0.0284	0.39180195498468934	0.020545218180986768
UP000002439	0.6614085469038902	0.0019	0.47016234598162726	0.005444484894452737
UP000001686	0.6415280587888599	0.0021	0.4589680044106361	0.006661502942593426
UP000000792	0.5551243989043055	0.0154	0.43657932126865384	0.00985282446257205
UP000002698	0.6140012290911258	0.004	0.4253849796976627	0.011910875444508038
UP000001059	0.5704170820697134	0.0094	0.44777366283964504	0.008117804728547496
UP000001974	0.587239033551662	0.0075	0.44777366283964504	0.008117804728547496
UP000000242	0.6415280587888599	0.0028	0.4813566875526184	0.004431876953728541
UP000005877	0.5956500092926363	0.0061	0.43657932126865384	0.00985282446257205
UP000007490	0.47353806100052453	0.0374	0.37172607133323793	0.03059559019997619
UP000009227	0.48113579768394166	0.0325	0.364777307754965	0.03141032853123626
UP000000554	0.6094134241415033	0.0048	0.4029962965556805	0.017199392578853424
UP000001068	0.5721740082429307	0.0098	0.41635890185330243	0.016362467202893114
UP000000578	0.28826707766793824	0.2168	0.21269248984883135	0.20861355876256926
UP000007722	0.37390610339422226	0.1077	0.3022472224167604	0.073967716022078
UP000002457	0.569652447911443	0.0102	0.4029962965556805	0.017199392578853424
UP000000254	0.5451841548467904	0.0133	0.43657932126865384	0.00985282446257205
UP000001975	0.5092463494080819	0.0222	0.4141906381266716	0.014341436373669372
UP000001746	0.6055902533501514	0.0058	0.4253849796976627	0.011910875444508038
UP000000805	0.40831464051639	0.0813	0.33583024712973375	0.047105790667919034
UP000006565	0.6835829374937316	0.0011	0.5149397122655918	0.0023330003082986735
UP000001137	0.7149329379828175	0.0004	0.5485227369785651	0.0011838838604479919
UP000000262	0.5543597647460351	0.0119	0.358218930271716	0.03420011785882996
UP000000590	0.5566536672208462	0.0108	0.43657932126865384	0.00985282446257205
UP000000346	0.6820536691771907	0.0014	0.5149397122655918	0.0023330003082986735
UP000005223	0.587239033551662	0.0073	0.38060761341369825	0.024445084354981106
UP000001826	0.47942561723553656	0.0359	0.3022472224167604	0.073967716022078
UP000007807	0.5833094678199707	0.0071	0.3780065790053484	0.026405320022907096
UP000006622	0.6193536681990185	0.0048	0.47016234598162726	0.005444484894452737
UP000000641	0.6155304974076665	0.0046	0.4589680044106361	0.006661502942593426
UP000011511	0.4396129843600085	0.0502	0.3376118524547578	0.046892193445156286
UP000002071	0.5535951305877647	0.0136	0.358218930271716	0.03420011785882996
UP000000365	0.6231768389903705	0.0042	0.4141906381266716	0.014341436373669372
UP000001013	0.5627707404870095	0.0098	0.43657932126865384	0.00985282446257205
UP000000663	0.5253036667317601	0.0172	0.3470245887007249	0.040215745675309174
UP000002487	0.6055902533501514	0.0054	0.4813566875526184	0.004431876953728541
UP000000391	0.5375378132640865	0.0161	0.4253849796976627	0.011910875444508038
UP000001169	0.5941207409760955	0.0063	0.4141906381266716	0.014341436373669372
UP000000674	0.6231768389903705	0.0046	0.43657932126865384	0.00985282446257205
UP000006663	0.3701541764624135	0.1059	0.2042029424343383	0.23226995055542166
UP000001879	0.4947183004009444	0.0281	0.3134415639877515	0.06388361011643756
UP000002199	0.589532936026473	0.0091	0.43657932126865384	0.00985282446257205
UP000002518	0.6369402538392375	0.0037	0.4589680044106361	0.006661502942593426
UP000001015	0.3471439078547585	0.1375	0.23508117299081363	0.16460679513899923
UP000001304	0.6040609850336106	0.0059	0.5037453706946006	0.0029011546081412114
UP000000536	0.5000707395088372	0.0259	0.33583024712973375	0.047105790667919034
UP000006681	0.646741362387556	0.0024	0.49946431369525973	0.0032153886919560454
UP000001901	0.5719463503862541	0.0079	0.4253849796976627	0.011910875444508038
UP000000740	0.5987085459257179	0.0059	0.4029962965556805	0.017199392578853424
UP000002593	0.6774658642275684	0.0019	0.5037453706946006	0.0029011546081412114
UP000008243	0.5780634236524174	0.0075	0.38060761341369825	0.024445084354981106
UP000001018	0.6155304974076665	0.0051	0.4813566875526184	0.004431876953728541
UP000002315	0.31120610241605	0.179	0.23508117299081363	0.16460679513899923
UP000001400	0.5428902523719792	0.0138	0.39180195498468934	0.020545218180986768
UP000002613	0.5321853741561936	0.0186	0.38060761341369825	0.024445084354981106
UP000002376	0.6430573271054008	0.0028	0.5037453706946006	0.0029011546081412114
UP000001931	0.3104414682577797	0.1827	0.23508117299081363	0.16460679513899923
UP000012076	0.20899230445153122	0.3704	0.1197675343951021	0.48549640991120413
UP000001024	0.6178243998824777	0.0053	0.43657932126865384	0.00985282446257205
UP000002654	0.6216475706738297	0.0054	0.44777366283964504	0.008117804728547496
UP000001488	0.5115402518828931	0.023	0.3246359055587426	0.054962882529636305
UP000012672	0.24368919860114596	0.2997	0.20016019225635892	0.24463878536294903
UP000006794	0.5964146434509067	0.006	0.39180195498468934	0.020545218180986768
UP000002408	0.562006106328739	0.0103	0.39180195498468934	0.020545218180986768
UP000001941	0.6996402548174099	0.0011	0.537328395407574	0.0014903477607269477
UP000058290	0.23102503552423603	0.3241	0.16584701644098312	0.33503682195834317
UP000014070	0.5505240214052808	0.0134	0.4530364682539458	0.00860395359338099
