Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.6909411124015586	0.0012	0.5282641981651445	0.0028295060491175233
UP000001568	0.5034731494530544	0.0254	0.39095025932100097	0.025470696562158897
UP000002669	0.6806644749194782	0.0012	0.544960967538365	0.001843676253487646
UP000054321	0.7342961247697071	0.0006	0.5835815074919054	0.000898769233232981
UP000006882	0.22489117702300662	0.3372	0.16629588385661964	0.34299384011166945
UP000008311	0.6033872008173814	0.0062	0.4738791022072739	0.0067668235712391115
UP000002753	0.47849463661197267	0.0351	0.39095025932100097	0.025470696562158897
UP000011116	0.7790173692312375	0.0001	0.6278898104246379	0.000332915778455392
UP000011185	0.3520409153539962	0.1278	0.2961744388795462	0.09053796040133269
UP000001593	0.46210248756001265	0.0399	0.39095025932100097	0.025470696562158897
UP000042958	0.7329632361804931	0.0005	0.5805019002039106	0.0009084939380135535
UP000000226	0.4277570324035253	0.0617	0.3198683939899099	0.0675537369884263
UP000002762	0.7477942281798854	0.0003	0.5923488777590924	0.0007114363331455595
UP000030752	0.48719391327067585	0.0327	0.4454276564173461	0.011979657084479374
UP000017836	0.7150099300759657	0.0005	0.5686549226487286	0.001155153556107249
UP000006906	0.640854970079004	0.0037	0.5212670124280012	0.0028926863418734057
UP000006911	0.6666140614463697	0.0015	0.544960967538365	0.001843676253487646
UP000002852	0.6806644749194782	0.0015	0.544960967538365	0.001843676253487646
UP000028524	0.6510024909206935	0.0021	0.5212670124280012	0.0028926863418734057
UP000007014	0.524548769662717	0.0184	0.40279723687618285	0.021341330637023936
UP000028545	0.3578478715551383	0.1173	0.2523375565076321	0.16201629674547258
UP000008333	0.35672438651169897	0.1225	0.2724804837691825	0.11943216320053596
UP000000267	0.3848252134579159	0.0994	0.2843274613243643	0.104191518958961
UP000011712	0.6884702601823163	0.0019	0.5805019002039106	0.0009084939380135535
UP000008370	0.747685076387253	0.0002	0.5879747322073337	0.000799987410854741
UP000054361	0.7743338980735348	0.0001	0.616042832869456	0.0004306708408033493
UP000018087	0.20097536403761423	0.3939	0.16341143382057668	0.35862751544287197
UP000000304	0.565138853029475	0.0108	0.46203212465209204	0.008280720914880945
UP000011713	0.5073760420844734	0.0249	0.40279723687618285	0.021341330637023936
UP000007015	0.6533442264995449	0.0018	0.5094200348728195	0.0036002636343683892
UP000008524	0.7111070374445465	0.0008	0.5568079450935468	0.001462489258026938
UP000008536	0.4121454618778491	0.0687	0.308021416434728	0.07836213269113079
UP000054383	0.7837008403889404	0.0001	0.6515837655350016	0.0001963655182836588
UP000028761	0.6072900934488005	0.0076	0.5212670124280012	0.0028926863418734057
UP000007062	0.6385132345001526	0.0043	0.5094200348728195	0.0036002636343683892
UP000001595	0.5846533161865701	0.0076	0.49757305731763757	0.004461930445873531
UP000000305	0.6822256319720458	0.0012	0.5568079450935468	0.001462489258026938
UP000004994	0.5955814155545434	0.0066	0.4738791022072739	0.0067668235712391115
UP000053732	0.665052904393802	0.0027	0.5212670124280012	0.0028926863418734057
UP000001610	0.7665281128106968	0.0003	0.616042832869456	0.0004306708408033493
UP000018468	0.4792752151382564	0.0368	0.35540932665545544	0.04224686715250246
UP000008549	0.5276710837678523	0.0184	0.4383381695417284	0.012245180119465357
UP000008553	0.2810082694621699	0.2321	0.22509257354845508	0.19832067950187182
UP000001611	0.8055570391248869	0.0	0.6515837655350016	0.0001963655182836588
UP000007110	0.608851250501368	0.0049	0.49757305731763757	0.004461930445873531
UP000000311	0.5581136462929207	0.0119	0.4264911919865465	0.014797554799736665
UP000008672	0.5830921591340025	0.0085	0.45018514709691015	0.01009081989105877
UP000001628	0.7243768723913713	0.0007	0.6041958553142742	0.000554725705984824
UP000000314	0.43400166061379564	0.0629	0.33171537154509173	0.05800306162604055
UP000030816	0.7462330711273177	0.0002	0.616042832869456	0.0004306708408033493
UP000008673	0.5565524892403532	0.0119	0.46203212465209204	0.008280720914880945
UP000007115	0.7509165422850207	0.0002	0.6041958553142742	0.000554725705984824
UP000001631	0.6728586896566401	0.0013	0.5568079450935468	0.001462489258026938
UP000001640	0.4542967022971746	0.0451	0.35540932665545544	0.04224686715250246
UP000005203	0.5823115806077188	0.0089	0.49757305731763757	0.004461930445873531
UP000007129	0.7922872041780623	0.0002	0.6278898104246379	0.000332915778455392
UP000001645	0.645538441236707	0.0035	0.544960967538365	0.001843676253487646
UP000018817	0.5604553818717722	0.0097	0.46203212465209204	0.008280720914880945
UP000005204	0.6268045566058956	0.0023	0.49757305731763757	0.004461930445873531
UP000008694	0.6705169540777888	0.0023	0.5331139899831832	0.0023142993557186517
UP000001646	0.7220351368125199	0.0009	0.5686549226487286	0.001155153556107249
UP000001744	0.593239679975692	0.006	0.49757305731763757	0.004461930445873531
UP000018888	0.2755442197781832	0.2358	0.21324559599327325	0.22297779365472647
UP000007241	0.6830062104983295	0.0012	0.5331139899831832	0.0023142993557186517
UP000008698	0.6681752184989372	0.0017	0.5331139899831832	0.0023142993557186517
UP000001745	0.7470136496536016	0.0	0.6041958553142742	0.000554725705984824
UP000007258	0.6166570357642062	0.004	0.48572607976245574	0.005506446088879325
UP000001798	0.5955814155545434	0.0068	0.48572607976245574	0.005506446088879325
UP000005206	0.5869950517654214	0.0086	0.48572607976245574	0.005506446088879325
UP000000437	0.6057289363962328	0.0062	0.49757305731763757	0.004461930445873531
UP000008743	0.7440607008969637	0.0003	0.6014462475171678	0.000621435393583695
UP000031513	0.36609132882710466	0.1153	0.2843274613243643	0.104191518958961
