Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000000792	0.6019582716850076	0.0064	0.46738850262271203	0.005615998772030996
UP000000554	0.6796794662569959	0.0014	0.4785168003042052	0.00457775067321323
UP000001686	0.624055474063318	0.0033	0.46738850262271203	0.005615998772030996
UP000009079	0.5859568492731276	0.0094	0.4451319072597258	0.008351423441556883
UP000001059	0.6415808414668055	0.0029	0.5119016933486846	0.0024201512716478463
UP000001974	0.6842513012318189	0.0012	0.5230299910301778	0.001941172060729515
UP000000242	0.6918710261898569	0.0015	0.5675431817561504	0.0007714494638696247
UP000005877	0.6484385939290398	0.003	0.46738850262271203	0.005615998772030996
UP000002439	0.6827273562402112	0.001	0.5230299910301778	0.001941172060729515
UP000007490	0.5989103817017923	0.0063	0.4451319072597258	0.008351423441556883
UP000000578	0.5669075368780325	0.0077	0.42287531189673944	0.012222799412410503
UP000010878	0.6545343738954703	0.0023	0.4562602049412189	0.0068621718926084535
UP000000805	0.5227131321214116	0.0204	0.42287531189673944	0.012222799412410503
UP000002698	0.6552963463912741	0.0023	0.4562602049412189	0.0068621718926084535
UP000000590	0.6111019416346533	0.0051	0.46738850262271203	0.005615998772030996
UP000001068	0.7101583660891482	0.001	0.5341582887116709	0.0015506894856330208
UP000009227	0.5128074896759621	0.0209	0.4006187165337532	0.01760752865509278
UP000000254	0.6537724013996665	0.0024	0.5007733956671915	0.0030051354436421113
UP000003484	0.5730033168444628	0.0087	0.46738850262271203	0.005615998772030996
UP000001746	0.675107631282173	0.0014	0.4785168003042052	0.00457775067321323
UP000007722	0.5996723541975962	0.0074	0.46738850262271203	0.005615998772030996
UP000001013	0.6027202441808114	0.0065	0.4562602049412189	0.0068621718926084535
UP000006565	0.6149118041136723	0.0047	0.46738850262271203	0.005615998772030996
UP000001975	0.5928146017353619	0.0071	0.4785168003042052	0.00457775067321323
UP000002457	0.7162541460555787	0.0006	0.5341582887116709	0.0015506894856330208
UP000000641	0.6598681813660968	0.0026	0.46738850262271203	0.005615998772030996
UP000000262	0.5813850142983048	0.0073	0.42287531189673944	0.012222799412410503
UP000001826	0.6492005664248436	0.002	0.4785168003042052	0.00457775067321323
UP000001137	0.7810218081989022	0.0002	0.6231846701636161	0.00022203357053600885
UP000011511	0.6568202913828817	0.0029	0.4562602049412189	0.0068621718926084535
UP000001015	0.6027202441808114	0.0056	0.46738850262271203	0.005615998772030996
UP000006622	0.6286273090381409	0.0038	0.48964509798569833	0.003716486552095741
UP000003980	0.7124442835765596	0.0005	0.5675431817561504	0.0007714494638696247
UP000007807	0.6781555212653883	0.0011	0.48964509798569833	0.003716486552095741
UP000000346	0.7261597885010282	0.0003	0.5119016933486846	0.0024201512716478463
UP000010468	0.6522484564080588	0.0025	0.4451319072597258	0.008351423441556883
UP000002071	0.6507245114164513	0.0022	0.46738850262271203	0.005615998772030996
UP000002487	0.5867188217689315	0.0065	0.4451319072597258	0.008351423441556883
UP000001879	0.6598681813660968	0.0024	0.4785168003042052	0.00457775067321323
UP000000663	0.6385329514835903	0.0025	0.46738850262271203	0.005615998772030996
UP000000365	0.6385329514835903	0.0031	0.46738850262271203	0.005615998772030996
UP000001018	0.663678043845116	0.0018	0.5230299910301778	0.001941172060729515
UP000011514	0.6446287314500209	0.0024	0.4451319072597258	0.008351423441556883
UP000005223	0.6095779966430457	0.005	0.4562602049412189	0.0068621718926084535
UP000001169	0.6865372187192302	0.0012	0.5119016933486846	0.0024201512716478463
UP000010469	0.6095779966430457	0.0043	0.48964509798569833	0.003716486552095741
UP000002518	0.707110476105933	0.0005	0.5007733956671915	0.0030051354436421113
UP000002199	0.5981484092059886	0.0065	0.46738850262271203	0.005615998772030996
UP000001901	0.5912906567437543	0.0075	0.4562602049412189	0.0068621718926084535
UP000008037	0.6850132737276226	0.0007	0.5341582887116709	0.0015506894856330208
UP000006663	0.6758696037779769	0.0009	0.48964509798569833	0.003716486552095741
UP000000391	0.6453907039458245	0.0024	0.5119016933486846	0.0024201512716478463
UP000000674	0.7261597885010282	0.0003	0.5230299910301778	0.001941172060729515
UP000002593	0.7330175409632624	0.0001	0.5564148840746572	0.0009775747711928437
UP000001024	0.6812034112486034	0.0015	0.5341582887116709	0.0015506894856330208
UP000001931	0.6613921263577046	0.002	0.5341582887116709	0.0015506894856330208
UP000010824	0.6812034112486034	0.0014	0.5007733956671915	0.0030051354436421113
UP000002315	0.4800426723563984	0.0333	0.36723382348927375	0.029558583529401803
UP000001304	0.7154921735597749	0.0003	0.5786714794376435	0.0006063042114599626
UP000005233	0.6309132265255523	0.0037	0.4785168003042052	0.00457775067321323
UP000002613	0.5722413443486591	0.0103	0.4451319072597258	0.008351423441556883
UP000001037	0.7238738710136168	0.0003	0.5341582887116709	0.0015506894856330208
UP000000536	0.5524300594577601	0.0141	0.38949041885226	0.021008501451377965
UP000006681	0.7284457059884396	0.0007	0.5675431817561504	0.0007714494638696247
UP000008136	0.5951005192227733	0.0067	0.4562602049412189	0.0068621718926084535
UP000001400	0.6187216665926913	0.0045	0.46738850262271203	0.005615998772030996
UP000002376	0.6735836862905655	0.0015	0.5341582887116709	0.0015506894856330208
UP000011554	0.6469146489374322	0.0034	0.4451319072597258	0.008351423441556883
UP000000740	0.647676621433236	0.0025	0.4451319072597258	0.008351423441556883
UP000005270	0.6720597412989578	0.0015	0.4785168003042052	0.00457775067321323
UP000001941	0.6781555212653883	0.0013	0.5452865863931641	0.0012337333969834146
