Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.7565562493896709	0.0	0.615156068341188	0.0006031747037672676
UP000001568	0.6491911833980476	0.0026	0.5272998319570706	0.002947248794661092
UP000002669	0.7224741145300971	0.0006	0.5886137659055671	0.0009037072754081461
UP000054321	0.8091104858756447	0.0	0.6718673790830955	0.00016216205338403294
UP000006882	0.37691157517615864	0.1026	0.27664166758624403	0.11960757047294962
UP000008311	0.7033568281478233	0.001	0.5886137659055671	0.0009037072754081461
UP000002753	0.5966186458467947	0.0067	0.49051147158797265	0.0056791131600991964
UP000011116	0.8395674936215242	0.0	0.7112416338025602	6.0630043345063386e-05
UP000011185	0.45801831957530964	0.0465	0.3678836036909795	0.03804992859061535
UP000001593	0.6268876826187282	0.0032	0.5150370451673713	0.0036837748324349013
UP000042958	0.8204502072392504	0.0	0.6867160602231618	0.00010792051787630543
UP000000226	0.532894357905882	0.0149	0.40467196406007744	0.022504215084033722
UP000002762	0.8347881720259557	0.0	0.6989788470128611	8.107454851974098e-05
UP000030752	0.6101747913427674	0.0055	0.5233670255931882	0.0035818570388141697
UP000017836	0.814077778445159	0.0001	0.6744532734334624	0.00014300427472308338
UP000006906	0.7686742232872588	0.0001	0.6376649130643645	0.00032379165073836253
UP000006911	0.7511500441035077	0.0001	0.6254021262746651	0.00042134883601535904
UP000002852	0.8284157432318644	0.0001	0.7112416338025602	6.0630043345063386e-05
UP000028524	0.7487603833057237	0.0	0.6254021262746651	0.00042134883601535904
UP000007014	0.6762740057729355	0.0015	0.5272998319570706	0.002947248794661092
UP000028545	0.466986570588674	0.0395	0.3631236238993082	0.047137152162760265
UP000008333	0.4675769627664465	0.039	0.3678836036909795	0.03804992859061535
UP000000267	0.5010322139354256	0.026	0.38014639048067883	0.03207615088460666
UP000011712	0.798146706459931	0.0001	0.6867160602231618	0.00010792051787630543
UP000008370	0.6578023368032114	0.0022	0.5102501868812946	0.004095180080381404
UP000054361	0.8658537623971506	0.0	0.735767207381959	3.3446657845359056e-05
UP000018087	0.4033806205973708	0.0781	0.31949970703327496	0.07660790159705211
UP000000304	0.6922050777581636	0.001	0.5763509791158679	0.0011550143365836485
UP000011713	0.6571567193906617	0.002	0.5395626187467699	0.0023475372790814704
UP000007015	0.7814190808754413	0.0	0.6499276998540637	0.0002477004924662829
UP000008524	0.8260260824340803	0.0	0.6867160602231618	0.00010792051787630543
UP000008536	0.5480288762918488	0.0115	0.4414603244291754	0.01280382051313982
UP000054383	0.8132812248458976	0.0	0.6989788470128611	8.107454851974098e-05
UP000028761	0.7623017944931675	0.0003	0.662190486643763	0.00018863502509754518
UP000007062	0.7638949016916904	0.0001	0.6376649130643645	0.00032379165073836253
UP000001595	0.7392017401145867	0.0001	0.6376649130643645	0.00032379165073836253
UP000000305	0.7591155800961219	0.0004	0.6499276998540637	0.0002477004924662829
UP000004994	0.7176947929345288	0.0006	0.5886137659055671	0.0009037072754081461
UP000053732	0.7638949016916904	0.0002	0.6131393394849658	0.0005458314915435368
UP000001610	0.8531089048089681	0.0001	0.7235044205922596	4.513479172827904e-05
UP000018468	0.4349182651967289	0.0568	0.31883245653218223	0.07221806943667516
UP000008549	0.6730877913758899	0.0016	0.5640881923261686	0.0014696097165385314
UP000008553	0.34809392287723534	0.1384	0.2575185225836856	0.14649561786767568
UP000001611	0.8371778328237399	0.0	0.6989788470128611	8.107454851974098e-05
UP000007110	0.7527431513020306	0.0002	0.6254021262746651	0.00042134883601535904
UP000000311	0.6874257561625952	0.0013	0.5640881923261686	0.0014696097165385314
UP000008672	0.4819149275531519	0.0311	0.3678836036909795	0.03804992859061535
UP000001628	0.8132812248458976	0.0	0.6989788470128611	8.107454851974098e-05
UP000000314	0.5536047514866786	0.0131	0.42919753763947605	0.015518975363815796
UP000030816	0.8021294744562381	0.0	0.6867160602231618	0.00010792051787630543
UP000008673	0.6722912377766285	0.0018	0.5640881923261686	0.0014696097165385314
UP000007115	0.798146706459931	0.0001	0.6744532734334624	0.00014300427472308338
UP000001631	0.7559293656990763	0.0	0.6376649130643645	0.00032379165073836253
UP000001640	0.519352946718438	0.0199	0.40467196406007744	0.022504215084033722
UP000005203	0.7766397592798729	0.0	0.662190486643763	0.00018863502509754518
UP000007129	0.8722261911912418	0.0	0.735767207381959	3.3446657845359056e-05
UP000001645	0.7989432600591924	0.0001	0.6867160602231618	0.00010792051787630543
UP000018817	0.6109566106335	0.0044	0.502774258377672	0.004584014899669885
UP000005204	0.7423879545116323	0.0002	0.6008765526952665	0.000703913681442867
UP000008694	0.749556936904985	0.0002	0.6131393394849658	0.0005458314915435368
UP000001646	0.7081361497433918	0.0008	0.5886137659055671	0.0009037072754081461
UP000001744	0.728049989724927	0.0001	0.6254021262746651	0.00042134883601535904
UP000018888	0.36482154846172493	0.1124	0.26978130937338496	0.12821833180080802
UP000007241	0.7957570456621467	0.0001	0.662190486643763	0.00018863502509754518
