Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000001227	0.41249736907178425	0.0706	0.31724099439345543	0.06301184718944562
UP000007719	0.41786443521212346	0.0647	0.32857102990750736	0.0541662610328685
UP000000212	0.3894956570417591	0.0886	0.30591095887940345	0.07301911803102451
UP000005746	0.6823841235574125	0.0012	0.49852156261828706	0.0034840031637007303
UP000003868	0.6954184270410936	0.0007	0.521181633646391	0.0022562497179438664
UP000015620	0.4316654624301385	0.0564	0.32857102990750736	0.0541662610328685
UP000033067	0.742188574835478	0.0	0.577831811216651	0.0007085939196039936
UP000020766	0.697718598244096	0.0007	0.49852156261828706	0.0034840031637007303
UP000002257	0.6724167150110684	0.0015	0.4871915271042351	0.004302889624966712
UP000000231	0.5121714545352265	0.0241	0.3625611364496633	0.033612093401538756
UP000001231	0.4278318437584677	0.0584	0.30591095887940345	0.07301911803102451
UP000010390	0.5336397190965833	0.0158	0.3965512429918192	0.02013166580649603
UP000037773	0.7613566681938323	0.0004	0.5891618467307029	0.00055515208774828
UP000007721	0.5597083260639452	0.0115	0.44187138504802714	0.009612332245615637
UP000033070	0.6486482792467091	0.0019	0.4871915271042351	0.004302889624966712
UP000005753	0.47613543902152045	0.0357	0.3852212074777673	0.02397758901033096
UP000003874	0.42629839628979926	0.0643	0.33990106542155935	0.04638188717730145
UP000015812	0.4002297893224375	0.0812	0.31724099439345543	0.06301184718944562
UP000033094	0.41863115894645764	0.0675	0.31724099439345543	0.06301184718944562
UP000000233	0.6685830963393975	0.0017	0.4758614915901831	0.0052926296899927245
UP000029738	0.5390067852369226	0.0171	0.3965512429918192	0.02013166580649603
UP000002297	0.4462332133824877	0.052	0.3625611364496633	0.033612093401538756
UP000033103	0.29978898012466104	0.2054	0.21527067476698758	0.20711525926133312
UP000001235	0.6317803570913573	0.0026	0.4758614915901831	0.0052926296899927245
UP000021053	0.7475556409758172	0.0	0.577831811216651	0.0007085939196039936
UP000037778	0.4331989098988069	0.0608	0.3512311009356114	0.03956153407869864
UP000007727	0.3465591279190455	0.1362	0.30591095887940345	0.07301911803102451
UP000015854	0.397929618119435	0.0811	0.31724099439345543	0.06301184718944562
UP000005766	0.7038523881187693	0.0008	0.543841704674495	0.0014373585301407502
UP000021369	0.4109639216031159	0.0699	0.33990106542155935	0.04638188717730145
UP000033104	0.35959343140272637	0.1129	0.2605908168231955	0.12673009603125454
UP000003900	0.5850102092969728	0.0072	0.43054134953397516	0.01163335889210696
UP000002301	0.6425144893720357	0.0035	0.4645314560761311	0.006483610368379361
UP000015857	0.40789702666577926	0.072	0.32857102990750736	0.0541662610328685
UP000010411	0.7713240767401766	0.0002	0.6004918822447548	0.00043313483157709793
UP000007730	0.6463481080437065	0.003	0.44187138504802714	0.009612332245615637
UP000000235	0.7720908004745106	0.0	0.6118219177588069	0.00033653311608770875
UP000002318	0.5788764194222995	0.0093	0.44187138504802714	0.009612332245615637
UP000033121	0.5604750497982793	0.0104	0.41921131401992323	0.014022820318718755
UP000002332	0.7107529017277768	0.0007	0.543841704674495	0.0014373585301407502
UP000001258	0.3718610111520731	0.108	0.2719208523372475	0.1110433503004932
UP000007742	0.6578489640587191	0.0027	0.4645314560761311	0.006483610368379361
UP000029829	0.5965110653119854	0.0057	0.41921131401992323	0.014022820318718755
UP000033187	0.6770170574170734	0.0015	0.4871915271042351	0.004302889624966712
UP000022447	0.6455813843093723	0.003	0.4532014205620792	0.007910447443339592
UP000005777	0.6846842947604151	0.0011	0.532511669160443	0.0018045519560177892
UP000037784	0.6432812131063699	0.0032	0.4532014205620792	0.007910447443339592
UP000015873	0.30592276999933443	0.1845	0.20394063925293562	0.23203202893660413
UP000001259	0.40789702666577926	0.0754	0.30591095887940345	0.07301911803102451
UP000003904	0.6570822403243849	0.0013	0.4758614915901831	0.0052926296899927245
UP000010419	0.41173064533745	0.0724	0.32857102990750736	0.0541662610328685
UP000002350	0.5037374934575506	0.0273	0.3625611364496633	0.033612093401538756
UP000001273	0.42629839628979926	0.0613	0.33990106542155935	0.04638188717730145
UP000037838	0.6777837811514076	0.0009	0.4871915271042351	0.004302889624966712
UP000005778	0.4953035323798748	0.0287	0.3852212074777673	0.02397758901033096
UP000029833	0.7713240767401766	0.0002	0.6004918822447548	0.00043313483157709793
UP000022668	0.5497409175176009	0.0126	0.3738911719637153	0.028445175951772695
UP000000238	0.6287134621540206	0.0024	0.4871915271042351	0.004302889624966712
UP000007753	0.6448146605750382	0.0024	0.4532014205620792	0.007910447443339592
UP000010420	0.3097563886710053	0.1835	0.21527067476698758	0.20711525926133312
UP000033200	0.6731834387454025	0.0012	0.4871915271042351	0.004302889624966712
UP000015895	0.4301320149614702	0.0541	0.33990106542155935	0.04638188717730145
UP000001274	0.6954184270410936	0.001	0.49852156261828706	0.0034840031637007303
UP000007794	0.3718610111520731	0.1081	0.2719208523372475	0.1110433503004932
UP000029839	0.7283875476174629	0.0006	0.543841704674495	0.0014373585301407502
UP000003917	0.41863115894645764	0.0668	0.31724099439345543	0.06301184718944562
UP000005798	0.2698867544856284	0.2437	0.19261060373888364	0.2590058101772442
UP000033201	0.6570822403243849	0.0018	0.4532014205620792	0.007910447443339592
UP000037849	0.7621233919281664	0.0002	0.5891618467307029	0.00055515208774828
UP000015929	0.41863115894645764	0.0629	0.33990106542155935	0.04638188717730145
UP000023067	0.7444887460384805	0.0002	0.5665017757025989	0.0009007049931048066
UP000007803	0.3894956570417591	0.0881	0.31724099439345543	0.06301184718944562
UP000010433	0.433965633633141	0.0568	0.33990106542155935	0.04638188717730145
UP000002357	0.7667237343341715	0.0	0.6004918822447548	0.00043313483157709793
UP000000239	0.6969518745097617	0.0009	0.509851598132339	0.0028094559766387306
UP000015934	0.4040634079941084	0.0803	0.30591095887940345	0.07301911803102451
UP000029844	0.4270651200241335	0.0605	0.31724099439345543	0.06301184718944562
UP000033202	0.644047936840704	0.0027	0.4532014205620792	0.007910447443339592
UP000001275	0.6570822403243849	0.0024	0.4645314560761311	0.006483610368379361
UP000010445	0.6793172286200758	0.0015	0.4871915271042351	0.004302889624966712
UP000015961	0.3948627231820983	0.0813	0.30591095887940345	0.07301911803102451
UP000003919	0.40483013172844257	0.0749	0.30591095887940345	0.07301911803102451
UP000023196	0.6287134621540206	0.0038	0.41921131401992323	0.014022820318718755
