Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.762452989052713	0.0	0.6148173533663294	0.0005454277794599883
UP000001568	0.6592312445586419	0.0023	0.5399396086679187	0.0021392790870594113
UP000002669	0.7196674020815088	0.0009	0.5763400317241829	0.001048564709939844
UP000054321	0.8125232131147981	0.0	0.6708813852392661	0.00014586190653035673
UP000006882	0.37945909033395614	0.1007	0.2798072162973612	0.11238879752453969
UP000008311	0.7053535752997773	0.001	0.588473506076271	0.0008194084052718968
UP000002753	0.6035663626296853	0.0059	0.4914057112595665	0.005202649389254287
UP000011116	0.839744504528258	0.0	0.7098082495971515	5.435104337007218e-05
UP000011185	0.4604280948123687	0.0439	0.37007096773868586	0.035353813322268904
UP000001593	0.6290131657972083	0.0031	0.5156726599637426	0.003365732818713698
UP000042958	0.8222498273505858	0.0	0.6855413008929755	9.69515609318661e-05
UP000000226	0.5335876539189972	0.0151	0.40647139079495004	0.0208184380780596
UP000002762	0.8349732289343474	0.0	0.6976747752450635	7.275554713008788e-05
UP000030752	0.6187153230534903	0.0049	0.536342636318416	0.00260914063245806
UP000017836	0.8158881265587051	0.0001	0.6734078265408874	0.0001286105544033501
UP000006906	0.7753322840104653	0.0001	0.6370074034846233	0.00029219220279901617
UP000006911	0.754656756436853	0.0	0.6248739291325351	0.0003806723643258181
UP000002852	0.8286115281424666	0.0001	0.7098082495971515	5.435104337007218e-05
UP000028524	0.7506806934419274	0.0	0.6248739291325351	0.0003806723643258181
UP000007014	0.6846780477261648	0.0011	0.5278061343158307	0.002689269120636728
UP000028545	0.45099386078737297	0.0466	0.34038421132002694	0.060562861358643985
UP000008333	0.47156107119816	0.0375	0.37007096773868586	0.035353813322268904
UP000000267	0.5017791499595935	0.0259	0.382204442090774	0.029759599647976358
UP000011712	0.7983934493810331	0.0001	0.6855413008929755	9.69515609318661e-05
UP000008370	0.6551039012369242	0.0019	0.4987867768779048	0.004655161337928913
UP000054361	0.8675769454927361	0.0	0.7340751983013277	2.9920769144499404e-05
UP000018087	0.41387659534580934	0.0692	0.3347264619797734	0.061360427885312235
UP000000304	0.694220598913986	0.0008	0.5763400317241829	0.001048564709939844
UP000011713	0.6576408193606718	0.002	0.5399396086679187	0.0021392790870594113
UP000007015	0.7832844100003163	0.0	0.6491408778367113	0.0002232701263713477
UP000008524	0.8309971659394219	0.0	0.6855413008929755	9.69515609318661e-05
UP000008536	0.5486966932997139	0.012	0.44287181385121427	0.01179430284094079
UP000054383	0.8135024887617498	0.0	0.6976747752450635	7.275554713008788e-05
UP000028761	0.764199307624674	0.0002	0.6612743521887994	0.0001698377649666616
UP000007062	0.7673801580206144	0.0001	0.6370074034846233	0.00029219220279901617
UP000001595	0.7395477170561362	0.0002	0.6370074034846233	0.00029219220279901617
UP000000305	0.7594280320307636	0.0004	0.6491408778367113	0.0002232701263713477
UP000004994	0.7212578272794791	0.0005	0.588473506076271	0.0008194084052718968
UP000053732	0.7594280320307636	0.0003	0.600606980428359	0.0006374760336266961
