Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.5446231821362617	0.0145	0.41917278161099564	0.0163026362139107
UP000001568	0.4447495899966607	0.0533	0.3129036257096165	0.07295794163958394
UP000053620	0.5032692728909581	0.0266	0.3837497296438693	0.02787243425206048
UP000002669	0.4954666485050518	0.0277	0.3719420456548272	0.033055110194490867
UP000027730	0.5157534719084084	0.0216	0.3837497296438693	0.02787243425206048
UP000053630	0.5992415528376059	0.0054	0.5018265695342906	0.004031118166878932
UP000017246	0.6569809732933128	0.002	0.5254419375123749	0.0026035099422681406
UP000053638	0.5032692728909581	0.0229	0.3837497296438693	0.02787243425206048
UP000002729	0.5087311099610925	0.0226	0.3719420456548272	0.033055110194490867
UP000054321	0.4470903773124326	0.0479	0.32471130969865863	0.06277841264624691
UP000041254	0.5438429196976711	0.014	0.41917278161099564	0.0163026362139107
UP000027920	0.5095113723996832	0.0234	0.3837497296438693	0.02787243425206048
UP000002753	0.3534588846815567	0.1232	0.26567288975344794	0.12789935600239077
UP000008311	0.5586679060308931	0.0125	0.43098046560003783	0.013521399074279974
UP000006882	0.5773942045570682	0.0092	0.43098046560003783	0.013521399074279974
UP000017559	0.6686849098721723	0.0014	0.5018265695342906	0.004031118166878932
UP000053641	0.32380891201511264	0.1645	0.21844215379727944	0.21064916516833831
UP000030748	0.5446231821362617	0.0112	0.43098046560003783	0.013521399074279974
UP000001593	0.620308638679553	0.0038	0.4900188855452485	0.004984211449638329
UP000000226	0.573492892364115	0.0094	0.45459583357812205	0.009185799290316463
UP000008312	0.4564535265755202	0.0434	0.36013436166578505	0.039041486551257984
UP000002762	0.5258968836100865	0.0199	0.3837497296438693	0.02787243425206048
UP000011116	0.4455298524352513	0.0497	0.3129036257096165	0.07295794163958394
UP000054324	0.6788283215738504	0.0015	0.537249621501417	0.002079002991964217
UP000028524	0.514192947031227	0.0244	0.3719420456548272	0.033055110194490867
UP000008333	0.2855760525241716	0.2206	0.19482678581919516	0.26422760495565967
UP000042958	0.48142192461042044	0.0315	0.36013436166578505	0.039041486551257984
UP000053647	0.5173139967855895	0.021	0.3837497296438693	0.02787243425206048
UP000000267	0.43538644073357313	0.0604	0.3365189936877008	0.05380271541812485
UP000030750	0.49312586118928	0.0307	0.34832667767674286	0.04592462271672615
UP000017836	0.5890981411359277	0.0076	0.45459583357812205	0.009185799290316463
UP000011185	0.5017087480137769	0.0246	0.3837497296438693	0.02787243425206048
UP000028545	0.47752061241746724	0.0346	0.32471130969865863	0.06277841264624691
UP000006906	0.6171875889251905	0.0047	0.4900188855452485	0.004984211449638329
UP000008370	0.4970271733822332	0.026	0.34832667767674286	0.04592462271672615
UP000054342	0.5095113723996832	0.0243	0.3837497296438693	0.02787243425206048
UP000002852	0.39871410611981334	0.0838	0.2892882577315322	0.09736473053271347
UP000030752	0.5118521597154552	0.0245	0.3719420456548272	0.033055110194490867
UP000001595	0.446310114873842	0.0482	0.32471130969865863	0.06277841264624691
UP000053660	0.5898784035745185	0.0068	0.4664035175671642	0.007523799368385053
UP000000304	0.42368250415471365	0.0634	0.3129036257096165	0.07295794163958394
UP000006911	0.45489300169833896	0.0466	0.32471130969865863	0.06277841264624691
UP000008493	0.6788283215738504	0.0007	0.4900188855452485	0.004984211449638329
UP000044602	0.5516455440835774	0.0125	0.41917278161099564	0.0163026362139107
UP000017861	0.522775833855724	0.0201	0.3955574136329114	0.023406045988124784
UP000011518	0.4283640787862574	0.0588	0.3129036257096165	0.07295794163958394
UP000006968	0.37530623296209437	0.1028	0.2892882577315322	0.09736473053271347
UP000002866	0.4455298524352513	0.0518	0.3365189936877008	0.05380271541812485
UP000008524	0.4470903773124326	0.0503	0.3129036257096165	0.07295794163958394
UP000007014	0.5532060689607586	0.0145	0.43098046560003783	0.013521399074279974
