Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000001227	0.31812629297077377	0.1712	0.2926909909688578	0.1031555203680498
UP000007719	0.2430811161674118	0.3013	0.20361112415224888	0.25690561286709235
UP000000212	0.250422492159045	0.2732	0.21633681941176447	0.22836018308549788
UP000005746	0.6786694250043174	0.0022	0.5217535056401378	0.0036702246866232983
UP000003868	0.7406632667114427	0.0004	0.5853819819377156	0.0011161315440525227
UP000015620	0.250422492159045	0.2831	0.21633681941176447	0.22836018308549788
UP000033067	0.663986673021051	0.002	0.5090278103806223	0.004592071103493404
UP000020766	0.6843793841089211	0.002	0.5090278103806223	0.004592071103493404
UP000002257	0.6949835938746136	0.0009	0.5344792008996534	0.0029198242715632013
UP000000231	0.5440775318243747	0.0153	0.43267363882352894	0.01598808448501115
UP000001231	0.4225369737406688	0.0629	0.3308680767474045	0.06542838465646371
UP000010390	0.5669173682427892	0.0102	0.45812502934256	0.01074438106705256
UP000037773	0.7006935529792172	0.0008	0.5344792008996534	0.0029198242715632013
UP000007721	0.5236848207365046	0.0186	0.44539933408304444	0.013136547486576357
UP000033070	0.6460410872637253	0.0033	0.5090278103806223	0.004592071103493404
UP000005753	0.41682701463606514	0.068	0.3563194672664356	0.047251747490789815
UP000003874	0.3368875871716143	0.1495	0.2799652957093422	0.11902336735208256
UP000015812	0.2487910752720154	0.2919	0.21633681941176447	0.22836018308549788
UP000033094	0.3866458022260174	0.0924	0.3308680767474045	0.06542838465646371
UP000000233	0.6729594658997139	0.0017	0.5344792008996534	0.0029198242715632013
UP000029738	0.5962828722093223	0.0066	0.4835764198615911	0.0070892752432628655
UP000002297	0.28712937211721123	0.2221	0.2672396004498267	0.13674363253164004
UP000033103	0.17048306469459418	0.4735	0.15270834311418668	0.3951575117972512
UP000001235	0.6166755832971924	0.0048	0.4835764198615911	0.0070892752432628655
UP000021053	0.7039563867532764	0.0008	0.5472048961591689	0.002312042163158043
UP000037778	0.2667366610293411	0.2576	0.22906251467128	0.20214924257359457
UP000007727	0.16151027181593133	0.5047	0.12725695259515557	0.47858233300963327
UP000015854	0.2944707481088445	0.1985	0.2672396004498267	0.13674363253164004
UP000005766	0.6786694250043174	0.0009	0.5472048961591689	0.002312042163158043
UP000021369	0.31975770985780344	0.1713	0.2799652957093422	0.11902336735208256
UP000033104	0.388277219113047	0.0933	0.3308680767474045	0.06542838465646371
UP000003900	0.5326576136151674	0.0178	0.4199479435640133	0.0193701886944754
UP000002301	0.6272797930628848	0.0028	0.4835764198615911	0.0070892752432628655
UP000015857	0.2634738272552819	0.26	0.22906251467128	0.20214924257359457
UP000010411	0.7006935529792172	0.0005	0.5344792008996534	0.0029198242715632013
UP000007730	0.6860108009959508	0.0008	0.5217535056401378	0.0036702246866232983
UP000000235	0.7365847244938686	0.0002	0.5726562866782	0.001429485051917178
UP000002318	0.5196062785189306	0.0206	0.4199479435640133	0.0193701886944754
UP000033121	0.4869779407783384	0.0318	0.39449655304498227	0.0280481631971811
UP000002332	0.7227176809541168	0.0006	0.5726562866782	0.001429485051917178
UP000001258	0.41193276397497636	0.0652	0.34359377200692004	0.055725235943522876
UP000007742	0.6876422178829803	0.001	0.5472048961591689	0.002312042163158043
UP000029829	0.6362525859415475	0.0027	0.49630211512110667	0.005718864856576121
UP000033187	0.6713280490126842	0.0011	0.5090278103806223	0.004592071103493404
UP000022447	0.6582767139164474	0.0017	0.5090278103806223	0.004592071103493404
UP000005777	0.6550138801423883	0.0018	0.5344792008996534	0.0029198242715632013
UP000037784	0.6550138801423883	0.0019	0.5090278103806223	0.004592071103493404
UP000015873	0.24960678371553022	0.287	0.21633681941176447	0.22836018308549788
UP000001259	0.37033163335572133	0.1086	0.30541668622837337	0.08901758003148473
UP000003904	0.6786694250043174	0.0017	0.5217535056401378	0.0036702246866232983
UP000010419	0.25776386815067825	0.2737	0.21633681941176447	0.22836018308549788
UP000002350	0.49595073365700126	0.0247	0.39449655304498227	0.0280481631971811
UP000001273	0.15335318738078327	0.5178	0.1399826478546711	0.4357188057751644
UP000037838	0.6509353379248141	0.0019	0.49630211512110667	0.005718864856576121
UP000005778	0.41764272307958	0.0681	0.3563194672664356	0.047251747490789815
UP000029833	0.6949835938746136	0.0017	0.5344792008996534	0.0029198242715632013
UP000022668	0.5620231175817004	0.0092	0.44539933408304444	0.013136547486576357
UP000000238	0.6003614144268963	0.0074	0.4835764198615911	0.0070892752432628655
UP000007753	0.6493039210377844	0.0019	0.49630211512110667	0.005718864856576121
UP000010420	0.16640452247702014	0.4788	0.1399826478546711	0.4357188057751644
UP000033200	0.6582767139164474	0.0022	0.5090278103806223	0.004592071103493404
UP000015895	0.28549795523018157	0.2216	0.24178820993079556	0.17820236040942117
UP000001274	0.6876422178829803	0.0011	0.5344792008996534	0.0029198242715632013
UP000007794	0.40132855420928387	0.0814	0.34359377200692004	0.055725235943522876
UP000029839	0.6745908827867435	0.0013	0.5090278103806223	0.004592071103493404
UP000003917	0.3295462111799811	0.1559	0.2926909909688578	0.1031555203680498
UP000005798	0.20392711087870116	0.389	0.1781597336332178	0.32118857126088296
UP000033201	0.693352176987584	0.0012	0.5217535056401378	0.0036702246866232983
UP000037849	0.7170077218495132	0.0008	0.5472048961591689	0.002312042163158043
UP000015929	0.29610216499587405	0.2078	0.25451390519031114	0.15643349955814756
UP000023067	0.6656180899080806	0.0019	0.5090278103806223	0.004592071103493404
UP000007803	0.2430811161674118	0.3065	0.20361112415224888	0.25690561286709235
UP000010433	0.34830750538082156	0.1283	0.2926909909688578	0.1031555203680498
UP000002357	0.6949835938746136	0.0014	0.5217535056401378	0.0036702246866232983
UP000000239	0.6656180899080806	0.0018	0.5217535056401378	0.0036702246866232983
UP000015934	0.3238362520753775	0.163	0.2672396004498267	0.13674363253164004
UP000029844	0.3638059658076029	0.1203	0.2926909909688578	0.1031555203680498
UP000033202	0.6582767139164474	0.0019	0.5090278103806223	0.004592071103493404
UP000001275	0.6582767139164474	0.0017	0.5090278103806223	0.004592071103493404
UP000010445	0.725980514728176	0.0002	0.5599305914186844	0.0018222372814679596
UP000015961	0.31078491697914057	0.1764	0.24178820993079556	0.17820236040942117
UP000003919	0.2651052441423115	0.2549	0.22906251467128	0.20214924257359457
UP000023196	0.6509353379248141	0.0023	0.49630211512110667	0.005718864856576121
UP000037878	0.6566452970294177	0.0017	0.5090278103806223	0.004592071103493404
UP000029846	0.6232012508453108	0.0038	0.4835764198615911	0.0070892752432628655
UP000000245	0.634621169054518	0.0038	0.4835764198615911	0.0070892752432628655
UP000007809	0.68927363477001	0.001	0.5344792008996534	0.0029198242715632013
UP000033203	0.6582767139164474	0.0024	0.5090278103806223	0.004592071103493404
UP000001279	0.32057341830131825	0.1656	0.2799652957093422	0.11902336735208256
UP000002361	0.634621169054518	0.0029	0.4835764198615911	0.0070892752432628655
UP000000246	0.5432618233808599	0.0163	0.43267363882352894	0.01598808448501115
UP000010457	0.6134127495231331	0.0044	0.4708507246020756	0.008747629099673719
UP000000247	0.3687002164686917	0.1099	0.31814238148788887	0.07648401442154738
UP000005801	0.6256483761758551	0.0039	0.4708507246020756	0.008747629099673719
UP000015971	0.6729594658997139	0.0015	0.5217535056401378	0.0036702246866232983
UP000001285	0.2536853259331043	0.2769	0.21633681941176447	0.22836018308549788
UP000000248	0.48860935766536795	0.028	0.3817708577854667	0.03352377971111793
UP000037880	0.6713280490126842	0.0018	0.5090278103806223	0.004592071103493404
UP000033220	0.6860108009959508	0.0012	0.5217535056401378	0.0036702246866232983
UP000002366	0.5399989896068006	0.0153	0.44539933408304444	0.013136547486576357
UP000029848	0.46250668747289425	0.0437	0.3690451625259511	0.03988913150138502
UP000010460	0.5709959104603631	0.0089	0.45812502934256	0.01074438106705256
UP000023430	0.6509353379248141	0.002	0.49630211512110667	0.005718864856576121
UP000015993	0.3678845080251769	0.1139	0.31814238148788887	0.07648401442154738
UP000003922	0.3752258840168101	0.1079	0.3563194672664356	0.047251747490789815
UP000033358	0.30996920853562576	0.1861	0.2672396004498267	0.13674363253164004
UP000001299	0.23737115706280815	0.3188	0.21633681941176447	0.22836018308549788
UP000007841	0.7006935529792172	0.0002	0.5472048961591689	0.002312042163158043
UP000010466	0.10767351454395421	0.6438	0.10180556207612444	0.5708041166973491
UP000000260	0.6786694250043174	0.0012	0.5344792008996534	0.0029198242715632013
UP000037890	0.605255665087985	0.0058	0.45812502934256	0.01074438106705256
UP000003934	-0.010604209765692459	0.9663	0.012725695259515555	0.9435104091324128
UP000002377	0.47963656478670513	0.0337	0.3817708577854667	0.03352377971111793
UP000005819	0.49595073365700126	0.0281	0.40722224830449777	0.023361497331439676
UP000003936	0.5987299975398666	0.007	0.4708507246020756	0.008747629099673719
UP000016023	0.3899086360000766	0.0873	0.34359377200692004	0.055725235943522876
UP000029858	0.6525667548118437	0.0029	0.5090278103806223	0.004592071103493404
UP000003937	0.44129826794150934	0.0504	0.40722224830449777	0.023361497331439676
UP000001302	0.6566452970294177	0.0027	0.5090278103806223	0.004592071103493404
UP000002382	0.30589066631805173	0.1872	0.2672396004498267	0.13674363253164004
UP000010467	0.7243490978411465	0.0005	0.5726562866782	0.001429485051917178
UP000001303	0.07422946835984721	0.7525	0.07635417155709334	0.6707268029510887
UP000000263	0.688457926326495	0.0009	0.5472048961591689	0.002312042163158043
UP000037930	0.6142284579666479	0.0049	0.4835764198615911	0.0070892752432628655
UP000023435	0.7112977627449097	0.0009	0.5599305914186844	0.0018222372814679596
UP000029864	0.7586088524687683	0.0	0.5853819819377156	0.0011161315440525227
UP000003950	0.7243490978411465	0.0004	0.5726562866782	0.001429485051917178
UP000016033	0.6550138801423883	0.0017	0.49630211512110667	0.005718864856576121
UP000001306	0.7406632667114427	0.0007	0.5726562866782	0.001429485051917178
UP000002383	0.6550138801423883	0.0019	0.5090278103806223	0.004592071103493404
UP000033393	0.6876422178829803	0.001	0.5344792008996534	0.0029198242715632013
UP000029914	0.6672495067951101	0.0016	0.5217535056401378	0.0036702246866232983
UP000007842	0.70966634585788	0.0005	0.5472048961591689	0.002312042163158043
UP000016057	0.2487910752720154	0.2946	0.20361112415224888	0.25690561286709235
UP000005824	0.7080349289708504	0.0006	0.5472048961591689	0.002312042163158043
UP000003973	0.6077027904185295	0.0061	0.4835764198615911	0.0070892752432628655
UP000001319	0.11012063987449862	0.646	0.10180556207612444	0.5708041166973491
UP000023482	0.6134127495231331	0.005	0.4835764198615911	0.0070892752432628655
UP000037934	0.6949835938746136	0.0011	0.5217535056401378	0.0036702246866232983
UP000029916	0.4535338945942313	0.045	0.3817708577854667	0.03352377971111793
UP000016160	0.29039220589127046	0.2145	0.2672396004498267	0.13674363253164004
UP000002384	0.4372197257239353	0.0528	0.3690451625259511	0.03988913150138502
UP000005835	0.663986673021051	0.0013	0.5217535056401378	0.0036702246866232983
UP000003978	0.3564645898159696	0.1231	0.2926909909688578	0.1031555203680498
UP000000268	0.6493039210377844	0.0043	0.5217535056401378	0.0036702246866232983
UP000029917	0.6525667548118437	0.0019	0.5090278103806223	0.004592071103493404
UP000010471	0.6803008418913471	0.0013	0.5472048961591689	0.002312042163158043
UP000007844	0.6460410872637253	0.003	0.49630211512110667	0.005718864856576121
UP000037939	0.7553460186947092	0.0001	0.5853819819377156	0.0011161315440525227
UP000023541	0.2732623285774596	0.2436	0.22906251467128	0.20214924257359457
UP000001332	0.6786694250043174	0.0017	0.5344792008996534	0.0029198242715632013
UP000033409	0.70966634585788	0.0003	0.5472048961591689	0.002312042163158043
UP000029920	0.2259512388536009	0.3375	0.20361112415224888	0.25690561286709235
UP000016233	0.28549795523018157	0.2187	0.24178820993079556	0.17820236040942117
UP000005850	0.3532017560419104	0.1302	0.2926909909688578	0.1031555203680498
UP000016307	0.6770380081172878	0.0013	0.5090278103806223	0.004592071103493404
UP000029924	0.6493039210377844	0.0032	0.5090278103806223	0.004592071103493404
UP000003981	0.5546817415900672	0.0115	0.44539933408304444	0.013136547486576357
UP000007880	0.6925364685440691	0.0011	0.5344792008996534	0.0029198242715632013
UP000000269	0.2536853259331043	0.2788	0.21633681941176447	0.22836018308549788
UP000010472	0.5432618233808599	0.0137	0.44539933408304444	0.013136547486576357
UP000005868	0.5000292758745754	0.0254	0.4199479435640133	0.0193701886944754
UP000037950	0.24634394994147102	0.2944	0.21633681941176447	0.22836018308549788
UP000002402	0.6917207601005544	0.0008	0.5217535056401378	0.0036702246866232983
UP000033411	0.643593961933181	0.0029	0.49630211512110667	0.005718864856576121
UP000003987	0.38419867689547293	0.089	0.30541668622837337	0.08901758003148473
UP000016368	0.7390318498244131	0.0005	0.5726562866782	0.001429485051917178
UP000001349	0.2699994948034003	0.249	0.24178820993079556	0.17820236040942117
UP000005870	0.6876422178829803	0.0009	0.5344792008996534	0.0029198242715632013
UP000023560	0.7390318498244131	0.0003	0.5726562866782	0.001429485051917178
UP000000270	0.6860108009959508	0.0011	0.5217535056401378	0.0036702246866232983
UP000029986	0.6313583352804588	0.0035	0.49630211512110667	0.005718864856576121
UP000007881	0.6803008418913471	0.001	0.5217535056401378	0.0036702246866232983
