Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000054317	0.7497893772233636	0.0002	0.581387732848254	0.0006894986429435632
UP000001568	0.6076674153521318	0.0043	0.3989915813664488	0.019857777806949896
UP000053620	0.49781097995977414	0.0273	0.4331908597692873	0.011450052686812753
UP000002669	0.7497893772233636	0.0001	0.5927874923158668	0.0005396446488468582
UP000027730	0.7129144898189358	0.0005	0.52438893551019	0.0022059660354574032
UP000053630	0.6629797464587733	0.0019	0.5357886949778027	0.0017627167431941409
UP000017246	0.7013910875050522	0.001	0.5585882139130284	0.0011116341330976974
UP000053638	0.49781097995977414	0.0291	0.4331908597692873	0.011450052686812753
UP000002729	0.6729666951308058	0.002	0.46739013817212577	0.006366445665677503
UP000054321	0.6898676851911686	0.0015	0.52438893551019	0.0022059660354574032
UP000041254	0.7474846967605868	0.0005	0.5585882139130284	0.0011116341330976974
UP000027920	0.7321201603420753	0.0005	0.5585882139130284	0.0011116341330976974
UP000002753	0.3879545445674166	0.0909	0.3305930245607719	0.05363620980185316
UP000008311	0.5638784865593739	0.0101	0.44459061923690013	0.009453629866995788
UP000006882	0.5492821769617878	0.0132	0.41039134083406165	0.01659464198361689
UP000017559	0.7505576040442891	0.0001	0.5927874923158668	0.0005396446488468582
UP000053641	0.5316129600804995	0.0193	0.41039134083406165	0.01659464198361689
UP000030748	0.5861570643662156	0.0088	0.49018965710735146	0.0042181082797136775
UP000001593	0.634555354084527	0.003	0.52438893551019	0.0022059660354574032
UP000000226	0.5638784865593739	0.011	0.44459061923690013	0.009453629866995788
UP000008312	0.47553240215293235	0.038	0.3989915813664488	0.019857777806949896
UP000002762	0.7213649848491173	0.0004	0.5471884544454155	0.0014027214356683154
UP000011116	0.683721870623764	0.0014	0.5015894165749643	0.003412419193174974
UP000054324	0.7221332116700427	0.0006	0.5585882139130284	0.0011116341330976974
UP000028524	0.7421071090141077	0.0004	0.5699879733806411	0.0008773044441233969
UP000008333	0.3188141306841146	0.1717	0.28499398669032056	0.09619463283982506
UP000042958	0.7121462629980102	0.0007	0.5357886949778027	0.0017627167431941409
UP000053647	0.7574716454326192	0.0001	0.5927874923158668	0.0005396446488468582
UP000000267	0.3979414932394491	0.0817	0.3305930245607719	0.05363620980185316
UP000030750	0.6299459931589735	0.0038	0.5015894165749643	0.003412419193174974
UP000017836	0.6245684054124945	0.0046	0.5015894165749643	0.003412419193174974
UP000011185	0.37335823496983067	0.1048	0.3191932650931591	0.06243139759849845
UP000028545	0.7098415825352336	0.0008	0.5357886949778027	0.0017627167431941409
UP000006906	0.7797502232394612	0.0	0.6041872517834797	0.0004206012618289083
UP000008370	0.7413388821931822	0.0004	0.5699879733806411	0.0008773044441233969
UP000054342	0.7282790262374473	0.0006	0.5471884544454155	0.0014027214356683154
UP000002852	0.6230319517706433	0.0031	0.4787898976397386	0.005192714600326099
UP000030752	0.7213649848491173	0.0007	0.5357886949778027	0.0017627167431941409
UP000001595	0.6921723656539454	0.0009	0.5471884544454155	0.0014027214356683154
UP000053660	0.6068991885312062	0.0067	0.5015894165749643	0.003412419193174974
UP000000304	0.6691255610261779	0.0021	0.5129891760425771	0.0027493125614360047
UP000006911	0.7152191702817126	0.0006	0.5585882139130284	0.0011116341330976974
UP000008493	0.7474846967605868	0.0003	0.5585882139130284	0.0011116341330976974
UP000044602	0.7551669649698427	0.0001	0.581387732848254	0.0006894986429435632
UP000017861	0.7367295212676288	0.0003	0.5699879733806411	0.0008773044441233969
UP000011518	0.6760396024145081	0.002	0.5357886949778027	0.0017627167431941409
UP000006968	0.332642213460775	0.1551	0.27359422722270776	0.11025562274390725
UP000002866	0.43020701971832337	0.0568	0.3533925434959976	0.03912687191685692
UP000008524	0.66528442692155	0.002	0.49018965710735146	0.0042181082797136775
UP000007014	0.7505576040442891	0.0001	0.581387732848254	0.0006894986429435632
UP000002872	0.4279023392555466	0.0586	0.3533925434959976	0.03912687191685692
UP000001610	0.739802428551331	0.0003	0.5585882139130284	0.0011116341330976974
UP000054350	0.7221332116700427	0.0006	0.52438893551019	0.0022059660354574032
UP000028760	0.6307142199798991	0.0035	0.49018965710735146	0.0042181082797136775
UP000053661	0.49012871175051836	0.03	0.4217911003016745	0.013812175281791295
UP000030753	0.7121462629980102	0.0005	0.5357886949778027	0.0017627167431941409
UP000018001	0.7136827166398614	0.0008	0.5471884544454155	0.0014027214356683154
UP000002899	0.4279023392555466	0.0576	0.34199278402838473	0.04590056523733142
UP000011668	0.7751408623139076	0.0002	0.6383865301863182	0.00019420412239275014
UP000008536	0.2757934287122823	0.2388	0.193795910949418	0.25795393049631854
UP000044841	0.7666903672837262	0.0001	0.6041872517834797	0.0004206012618289083
UP000003163	0.381808730000012	0.0944	0.30779350562554625	0.07238708750804067
UP000001611	0.739802428551331	0.0006	0.5585882139130284	0.0011116341330976974
UP000000305	0.6122767762776852	0.0043	0.52438893551019	0.0022059660354574032
UP000053664	0.759776325895396	0.0002	0.581387732848254	0.0006894986429435632
UP000003786	0.44096219521128144	0.0507	0.3989915813664488	0.019857777806949896
UP000030754	0.6737349219517313	0.0018	0.5129891760425771	0.0027493125614360047
UP000001628	0.7620810063581729	0.0002	0.6041872517834797	0.0004206012618289083
UP000018050	0.649151663682113	0.0022	0.5129891760425771	0.0027493125614360047
UP000053676	0.5846206107243643	0.0082	0.46739013817212577	0.006366445665677503
UP000030755	0.36644419358150043	0.1121	0.30779350562554625	0.07238708750804067
UP000011712	0.7044639947887547	0.0009	0.5585882139130284	0.0011116341330976974
