Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000001227	0.549697119862487	0.0135	0.44737702090117387	0.010890912478223495
UP000007719	0.4886196620999884	0.0309	0.3748293958901727	0.03290130082784766
UP000000212	0.46799610493343047	0.0336	0.35064685421983893	0.045971562940673845
UP000005746	0.8035255157585848	0.0	0.6408373542638436	0.00026508231476310515
UP000003868	0.8368404927199476	0.0	0.6771111667693442	0.00011635693388727739
UP000015620	0.4783078835167095	0.0332	0.3748293958901727	0.03290130082784766
UP000033067	0.7948001646496565	0.0002	0.6650198959341774	0.00015379412148791097
UP000020766	0.7773494624317998	0.0	0.61665481259351	0.00044878300690851566
UP000002257	0.8154237218162144	0.0	0.6650198959341774	0.00015379412148791097
UP000000231	0.7289634244641062	0.0001	0.5924722709231762	0.0007463321766132883
UP000001231	0.5957035166186548	0.0049	0.4594682917363407	0.008922868059343137
UP000010390	0.7281702107269309	0.0006	0.5803810000880093	0.0009560456072342888
UP000037773	0.814630508079039	0.0	0.6771111667693442	0.00011635693388727739
UP000007721	0.7178584321436519	0.0004	0.5924722709231762	0.0007463321766132883
UP000033070	0.7757630349574492	0.0003	0.61665481259351	0.00044878300690851566
UP000005753	0.5885645929840769	0.007	0.4715595625715076	0.007278824666997366
UP000003874	0.5655613946059932	0.011	0.42319447923084014	0.0160161063245304
UP000015812	0.492585730785865	0.0281	0.38692066672533953	0.02765815269093984
UP000033094	0.5909442341956029	0.0063	0.4715595625715076	0.007278824666997366
UP000000233	0.7916273097009552	0.0001	0.6529286250990105	0.00020236478185847249
UP000029738	0.7511734091050147	0.0001	0.604563541758343	0.0005800328628663318
UP000002297	0.492585730785865	0.0313	0.3748293958901727	0.03290130082784766
UP000033103	0.37201724273521847	0.1025	0.29019050004400465	0.09862101885159462
UP000001235	0.7606919739511183	0.0003	0.604563541758343	0.0005800328628663318
UP000021053	0.8003526608098837	0.0	0.6529286250990105	0.00020236478185847249
UP000037778	0.4711689598821317	0.0355	0.36273812505500586	0.03897317718217527
UP000007727	0.35298011304301113	0.1316	0.2660079583736709	0.13003987748654
UP000015854	0.508450005529371	0.0229	0.38692066672533953	0.02765815269093984
UP000005766	0.7884544547522541	0.0	0.6408373542638436	0.00026508231476310515
UP000021369	0.5338328451189809	0.0163	0.4111032083956733	0.019297548530041196
UP000033104	0.5893578067212523	0.0073	0.4715595625715076	0.007278824666997366
UP000003900	0.723410928303879	0.0003	0.5803810000880093	0.0009560456072342888
UP000002301	0.7733833937459232	0.0001	0.61665481259351	0.00044878300690851566
UP000015857	0.500517868157618	0.0289	0.38692066672533953	0.02765815269093984
UP000010411	0.814630508079039	0.0	0.6771111667693442	0.00011635693388727739
UP000007730	0.7995594470727083	0.0	0.6408373542638436	0.00026508231476310515
UP000000235	0.8162169355533897	0.0	0.6771111667693442	0.00011635693388727739
UP000002318	0.7242041420410542	0.0008	0.5803810000880093	0.0009560456072342888
UP000033121	0.6821638139707631	0.0017	0.5441071875825088	0.001956845229728414
UP000002332	0.8304947828225453	0.0	0.6892024376045112	8.76374527939865e-05
UP000001258	0.6076017226762843	0.005	0.4715595625715076	0.007278824666997366
UP000007742	0.7876612410150788	0.0	0.6408373542638436	0.00026508231476310515
UP000029829	0.7464141266819629	0.0003	0.5924722709231762	0.0007463321766132883
UP000033187	0.8035255157585848	0.0	0.6408373542638436	0.00026508231476310515
UP000022447	0.7567259052652419	0.0001	0.61665481259351	0.00044878300690851566
UP000005777	0.7884544547522541	0.0	0.6529286250990105	0.00020236478185847249
UP000037784	0.7955933783868319	0.0002	0.6650198959341774	0.00015379412148791097
UP000015873	0.4632368225103787	0.0396	0.35064685421983893	0.045971562940673845
UP000001259	0.5917374479327783	0.0061	0.4594682917363407	0.008922868059343137
UP000003904	0.7924205234381305	0.0002	0.6408373542638436	0.00026508231476310515
UP000010419	0.46799610493343047	0.0406	0.32646431254950525	0.06316575050957601
UP000002350	0.6805773864964124	0.001	0.5561984584176757	0.0015480567903568324
UP000001273	0.3513936855686605	0.1349	0.2660079583736709	0.13003987748654
UP000037838	0.7495869816306641	0.0001	0.604563541758343	0.0005800328628663318
UP000005778	0.6520216919581014	0.0026	0.519924645912175	0.0030856535529759045
UP000029833	0.7741766074830986	0.0001	0.61665481259351	0.00044878300690851566
