Proteome_ID	spearman	p_spearman	kendall	p_kendall
UP000009079	0.42582561756247783	0.0646	0.31898963300538824	0.05691757208499151
UP000002439	0.6209008113477841	0.0046	0.4509853432145144	0.0071071411709256824
UP000001686	0.5973703405020857	0.0062	0.43998570069708726	0.008636216760319582
UP000000792	0.5328513075380739	0.0192	0.4179864156622328	0.012602024939936302
UP000002698	0.6520217566598369	0.0018	0.4509853432145144	0.0071071411709256824
UP000001059	0.5290560703048967	0.0165	0.4179864156622328	0.012602024939936302
UP000001974	0.6148284317747006	0.0057	0.48398427076679595	0.0038678686666596975
UP000000242	0.5966112930554502	0.0076	0.4509853432145144	0.0071071411709256824
UP000005877	0.6079970047549818	0.0059	0.42898605817966007	0.010452905127698711
UP000007490	0.34426652330208674	0.1383	0.25287284554424094	0.13749122071378622
UP000009227	0.3952328076758102	0.0851	0.292260648335885	0.0817415572412153
UP000000554	0.6474674719800242	0.0026	0.4509853432145144	0.0071071411709256824
UP000001068	0.45569349502939954	0.044	0.34661328928717366	0.04358834484968624
UP000000578	0.4197532379893944	0.0669	0.3079899904879611	0.06601967502129268
UP000007722	0.48579036584667706	0.0305	0.3849874881099513	0.021569611927232692
UP000002457	0.6709979428257227	0.001	0.5059835558016503	0.002527346652825452
UP000000254	0.5282970228582613	0.0197	0.4069867731448057	0.015133475982938668
UP000001975	0.5541046360438661	0.0116	0.48398427076679595	0.0038678686666596975
UP000001746	0.645190329640118	0.0027	0.4509853432145144	0.0071071411709256824
UP000000805	0.5100798841390108	0.0235	0.4069867731448057	0.015133475982938668
UP000006565	0.6998417457978692	0.0015	0.5389824833539318	0.001295351650530597
UP000001137	0.7074322202642235	0.0005	0.5389824833539318	0.001295351650530597
UP000000262	0.5336103549847094	0.0161	0.3849874881099513	0.021569611927232692
UP000000590	0.5169113111587298	0.0196	0.3959871306273785	0.018102455149462248
UP000000346	0.7476617349359013	0.0001	0.5719814109062135	0.0006402427027768719
UP000005223	0.5677674900833038	0.0098	0.3959871306273785	0.018102455149462248
UP000001826	0.5601770156169494	0.0102	0.3959871306273785	0.018102455149462248
UP000007807	0.5581501976358302	0.0136	0.40469462165940523	0.016399662720852894
UP000006622	0.5647313002967621	0.0088	0.4069867731448057	0.015133475982938668
UP000000641	0.6375998551737636	0.0031	0.48398427076679595	0.0038678686666596975
UP000011511	0.5081849795211237	0.0239	0.38702987638422537	0.021440654215153863
UP000002071	0.615587479221336	0.0044	0.4179864156622328	0.012602024939936302
UP000000365	0.5677674900833038	0.0105	0.4179864156622328	0.012602024939936302
UP000001013	0.45846465776780143	0.0411	0.35198856055766975	0.03564948854888944
UP000000663	0.5404417820044283	0.0149	0.3849874881099513	0.021569611927232692
UP000002487	0.5867436762491897	0.008	0.4619849857319416	0.005825677828368398
UP000000391	0.4637779898942495	0.0405	0.32998927552281543	0.048884633916181135
UP000001169	0.6353227128338573	0.0033	0.43998570069708726	0.008636216760319582
UP000000674	0.6634074683593684	0.0019	0.48398427076679595	0.0038678686666596975
UP000006663	0.4511338813356903	0.0454	0.26196144031136165	0.12180892554173497
UP000001879	0.5867436762491897	0.0078	0.4069867731448057	0.015133475982938668
UP000002199	0.5571408258304077	0.0116	0.4179864156622328	0.012602024939936302
UP000002518	0.6778293698454416	0.0019	0.5059835558016503	0.002527346652825452
UP000001015	0.46909132202069753	0.038	0.3409889180402426	0.04182575360161369
UP000001304	0.6573350887862849	0.0025	0.5169831983190775	0.0020307279962326974
UP000000536	0.4994532198861148	0.0244	0.35198856055766975	0.03564948854888944
UP000006681	0.6894743311616439	0.0008	0.5459208336840116	0.0011482243720274934
UP000001901	0.5434779717909699	0.0137	0.4179864156622328	0.012602024939936302
UP000000740	0.6125512894347944	0.0057	0.4179864156622328	0.012602024939936302
UP000002593	0.6505036617665659	0.0028	0.48398427076679595	0.0038678686666596975
UP000008243	0.6246960485809613	0.0045	0.42898605817966007	0.010452905127698711
UP000001018	0.6338046179405865	0.0032	0.5059835558016503	0.002527346652825452
UP000002315	0.4129218109696755	0.0691	0.3079899904879611	0.06601967502129268
UP000001400	0.40988562118313376	0.0686	0.28599070545310673	0.08782509563019496
UP000002613	0.4994532198861148	0.0259	0.3849874881099513	0.021569611927232692
UP000002376	0.6133103368814298	0.0038	0.48398427076679595	0.0038678686666596975
UP000001931	0.44024751904855103	0.0532	0.3409889180402426	0.04182575360161369
UP000012076	0.30149089603897955	0.1868	0.19614076974890024	0.24877321751547543
UP000001024	0.5844665339092834	0.0077	0.4179864156622328	0.012602024939936302
UP000002654	0.6550579464463786	0.0021	0.48398427076679595	0.0038678686666596975
UP000001488	0.4895856030798542	0.0307	0.35198856055766975	0.03564948854888944
UP000012672	0.35429149868393317	0.1311	0.2641116386795405	0.12111966234600599
UP000006794	0.6231779536876905	0.0042	0.4179864156622328	0.012602024939936302
UP000002408	0.6269731909208676	0.0034	0.4729846282493688	0.004756346891256541
UP000001941	0.7226131691969321	0.0008	0.5609817683887862	0.0008130482476364514
UP000058290	0.2556232210934615	0.2741	0.17982069016479355	0.2912510427633954
UP000014070	0.46227792114166005	0.0418	0.3549985979863857	0.03763414902044263
